"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"1","133_Glennview","LF","1.14.2020","first","Glennview","3","?","yes21","","","","","","","21","GV004","","","","","","","","tbd","","yes","NA","NA","NA","NA","NA","51000","","","133_Glennview_LF","2.19.2020","second","Glennview","8","corynebac","yes2","","","","","","","2","GV060","","","","","","","","no","","yes","NA","NA","NA","NA","NA","33000","","","133_Glennview_LF","3.19.2020","third","Glennview","14","","","","","","","","","13","","","","","","","","","","","","NA","NA","NA","NA","NA","52000","","","133_Glennview_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","133_Glennview_LF_fourth"
"2","175_Glennview","RF","1.14.2020","first","Glennview","31","corynebac","yes2","","","","","","","2","GV044","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","175_Glennview_RF","2.19.2020","second","Glennview","15","?","yes2","","","","","","","2","GV070","","","","","","","","no","","yes","NA","NA","NA","NA","NA","140000","","","175_Glennview_RF","3.19.2020","third","Glennview","35","","","","","","","","","5","","","","","","","","","","","","NA","NA","NA","NA","NA","2300000","","","175_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","175_Glennview_RF_fourth"
"3","188_Glennview","LH","1.14.2020","first","Glennview","21","","","","","","","","","8","","","","","","","","","","","","NA","NA","NA","NA","NA","15000","yes","","188_Glennview_LH","2.19.2020","second","Glennview","19","corynebac","yes2","corynebac","other18","","","","","2","GV074","GV075","","","","","","","no","","yes","NA","NA","NA","NA","NA","10000","","","188_Glennview_LH","3.19.2020","third","Glennview","30","corynebac","yes1","","","","","","","1","GV153","","","","","","","","no","","yes","NA","NA","NA","NA","NA","9000","","","188_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","188_Glennview_LH_fourth"
"4","193_Glennview","RF","1.14.2020","first","Glennview","10","corynebac","yes1","","","","","","","1","GV022","","","","","","","","no","","yes","NA","NA","NA","NA","NA","3000","","","193_Glennview_RF","2.19.2020","second","Glennview","7","corynebac","yes1","","","","","","","1","GV058","","","","","","","","no","","yes","NA","NA","NA","NA","NA","2000","","","193_Glennview_RF","3.19.2020","third","Glennview","4","corynebac","yes1","","","","","","","1","GV105","","","","","","","","no","","yes","NA","NA","NA","NA","NA","2000","","","193_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","193_Glennview_RF_fourth"
"5","jazz_Swallowdale","LH","12.13.2019","first","Swallowdale","16","","","","","","","","","3","","","","","","","","","","","","NA","NA","NA","NA","NA","6000","","","jazz_Swallowdale_LH","1.22.2020","second","Swallowdale","27","corynebac","yes2","","","","","","","2","SW079","","","","","","","","no","","yes","NA","NA","NA","NA","NA","1200000","","","jazz_Swallowdale_LH","2.28.2020","third","Swallowdale","16","corynebac","yes2","","","","","","","2","SW107","","","","","","","","no","","yes","NA","NA","NA","NA","NA","2200000","","","jazz_Swallowdale_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","jazz_Swallowdale_LH_fourth"
"6","muffin_Butterworks","LH","1.2.2020","first","Butterworks","4","cns","yes27","corynebac","yes27","","","","","27","BW003","BW004","","","","","","","yes","","yes","NA","NA","NA","NA","NA","250000","","","muffin_Butterworks_LH","2.4.2020","second","Butterworks","3","cns","yes2","","","","","","","2","BW072","","","","","","","","no","","yes","NA","NA","NA","NA","NA","400000","","","muffin_Butterworks_LH","3.3.2020","third","Butterworks","2","cns","yes2","","","","","","","2","BW116","","","","","","","","no","","yes","NA","NA","NA","NA","NA","0","","","muffin_Butterworks_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","muffin_Butterworks_LH_fourth"
"7","pomme_Butterworks","LF","1.2.2020","first","Butterworks","6","cns","other12","corynebac","other12","","","","","12","BW006","BW009","","","","","","","","","no","NA","NA","NA","NA","NA","61000","","","pomme_Butterworks_LF","2.4.2020","second","Butterworks","5","cns","yes1","","","","","","","1","BW074","","","","","","","","no","","yes","NA","NA","NA","NA","NA","40000","","","pomme_Butterworks_LF","3.3.2020","third","Butterworks","4","cns","yes2","","","","","","","2","BW120","","","","","","","","no","","yes","NA","NA","NA","NA","NA","9000","","","pomme_Butterworks_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pomme_Butterworks_LF_fourth"
"8","32_Choiniere","LF","12.11.2019","first","Choiniere","9","cns","yes2","","","","","","","2","CF020","","","","","","","","no","","yes","NA","NA","NA","NA","NA","133000","","","32_Choiniere_LF","1.21.2020","second","Choiniere","17","cns","yes2","","","","","","","2","CF105","","","","","","","","no","","yes","NA","NA","NA","NA","NA","150000","","","32_Choiniere_LF","2.17.2020","third","Choiniere","8","corynebac","yes2","","","","","","","2","CF145","","","","","","","","no","","yes","NA","NA","NA","NA","NA","1100000","","","32_Choiniere_LF","3.16.2020","fourth","Choiniere","21","cns","yes2","","","","","","","2","CF221","","","","","","","","no","","yes","NA","NA","NA","NA","NA","56000","","","32_Choiniere_LF_fourth"
"9","4_Choiniere","RF","12.11.2019","first","Choiniere","21","corynebac","yes2","","","","","","","2","CF044","","","","","","","","no","","yes","NA","NA","NA","NA","NA","4000","","","4_Choiniere_RF","1.21.2020","second","Choiniere","15","corynebac","yes2","","","","","","","2","CF100","","","","","","","","no","","yes","NA","NA","NA","NA","NA","2000","","","4_Choiniere_RF","2.17.2020","third","Choiniere","16","corynebac","yes1","","","","","","","1","CF156","","","","","","","","no","","yes","NA","NA","NA","NA","NA","3000","","","4_Choiniere_RF","3.16.2020","fourth","Choiniere","34","corynebac","yes2","","","","","","","2","CF243","","","","","","","","no","","yes","NA","NA","NA","NA","NA","5000","","","4_Choiniere_RF_fourth"
"10","69_Choiniere","LH","12.11.2019","first","Choiniere","3","cns","other12","","","","","","","12","CF003","","","","","","","","","","no","NA","NA","NA","NA","NA","144000","","","69_Choiniere_LH","1.21.2020","second","Choiniere","8","cns","yes2","","","","","","","2","CF092","","","","","","","","no","","yes","NA","NA","NA","NA","NA","110000","","","69_Choiniere_LH","2.17.2020","third","Choiniere","4","cns","yes2","","","","","","","2","CF137","","","","","","","","no","","yes","NA","NA","NA","NA","NA","85000","","","69_Choiniere_LH","3.16.2020","fourth","Choiniere","32","corynebac","yes2","","","","","","","2","CF236","","","","","","","","no","","yes","NA","NA","NA","NA","NA","94000","","","69_Choiniere_LH_fourth"
"11","74_Choiniere","RH","12.11.2019","first","Choiniere","24","","","","","","","","","3","","","","","","","","","","","","NA","NA","NA","NA","NA","21000","","","74_Choiniere_RH","1.21.2020","second","Choiniere","30","corynebac","yes2","","","","","","","2","CF126","","","","","","","","no","","yes","NA","NA","NA","NA","NA","77000","","","74_Choiniere_RH","2.17.2020","third","Choiniere","15","corynebac","yes2","","","","","","","2","CF155","","","","","","","","","","yes","NA","NA","NA","NA","NA","43000","","","74_Choiniere_RH","3.16.2020","fourth","Choiniere","17","corynebac","other12","","","","","","","12","CF217","","","","","","","","no","","no","NA","NA","NA","NA","NA","37000","","","74_Choiniere_RH_fourth"
