date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
2.19.2020,second,glennview,19,188,LH,corynebac,yes2,corynebac,other18,,,,,2,gv074,,,gv075,,,,,,,NA,NA,,,,,no,,yes,m,3,c,4,NA,NA,NA,corynebac,10000,,
1.22.2020,second,swallowdale,27,jazz,LH,corynebac,yes2,,,,,,,2,sw079,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,corynebac,1200000,,
12.12.2019,first,stonypond,2,zag,LH,corynebac,yes2,,,,,,,2,sp001,,,,,,,,,,NA,NA,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,corynebac,10000,,
12.12.2019,first,stonypond,23,abbi,RF,corynebac,yes2,,,,,,,2,sp030,,,,,,,,,,NA,NA,,,,,no,,yes,j,3,NA,NA,NA,NA,NA,corynebac,78000,,
1.14.2020,first,glennview,5,206,RH,corynebac,yes2,,,,,,,2,gv006,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,corynebac,4000,,
1.14.2020,first,glennview,5,206,RF,corynebac,yes2,,,,,,,2,gv007,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,corynebac,4000,,
1.14.2020,first,glennview,6,165,LF,corynebac,yes2,,,,,,,2,gv009,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,corynebac,43000,,
1.14.2020,first,glennview,10,193,RH,corynebac,yes2,,,,,,,2,gv021,,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,corynebac,2000,,
1.14.2020,first,glennview,10,193,RF,corynebac,yes1,,,,,,,1,gv022,,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,corynebac,3000,,
1.14.2020,first,glennview,12,174,RF,corynebac,yes2,,,,,,,2,gv026,,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,corynebac,17000,,
1.14.2020,first,glennview,29,207,LF,corynebac,yes1,,,,,,,1,gv043,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,corynebac,7000,,
1.14.2020,first,glennview,31,175,RF,corynebac,yes2,,,,,,,2,gv044,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,corynebac,120000,,
2.19.2020,second,glennview,5,114,LF,corynebac,yes1,,,,,,,1,gv053,,,,,,,,,,NA,NA,,,,,no,,yes,m,3,c,2,NA,NA,NA,corynebac,40000,,
2.19.2020,second,glennview,5,114,RH,corynebac,yes2,,,,,,,2,gv054,,,,,,,,,,NA,NA,,,,,no,,yes,m,3,c,2,NA,NA,NA,corynebac,61000,,
2.19.2020,second,glennview,7,193,RF,corynebac,yes1,,,,,,,1,gv058,,,,,,,,,,NA,NA,,,,,no,,yes,m,3,c,3,NA,NA,NA,corynebac,2000,,
2.19.2020,second,glennview,8,133,LF,corynebac,yes2,,,,,,,2,gv060,,,,,,,,,,NA,NA,,,,,no,,yes,m,4,c,3,NA,NA,NA,corynebac,33000,,
2.19.2020,second,glennview,26,190,RH,corynebac,yes2,,,,,,,2,gv084,corynebacterium species,,,,,,,,,NA,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,corynebac,17000,,
2.19.2020,second,glennview,28,128,LH,corynebac,yes2,,,,,,,2,gv087,corynebacterium species,,,,,,,,,NA,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,corynebac,19000,,
3.19.2020,third,glennview,4,193,RF,corynebac,yes1,,,,,,,1,gv105,corynebacterium species,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,corynebac,2000,,
3.19.2020,third,glennview,11,137,RH,corynebac,yes2,,,,,,,2,gv118,corynebacterium casei,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,corynebac,9000,,
3.19.2020,third,glennview,19,185,RH,corynebac,yes2,,,,,,,2,gv135,corynebacterium species,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,corynebac,18000,,
