date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,path
12.11.2019,first,Choiniere,5,86,LF,corynebac,yes1,,,,,,,1,CF009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,499000,,,86_LF_first,coryne
1.21.2020,second,Choiniere,34,56,LH,corynebac,yes1,,,,,,,1,CF130,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,56_LH_second,coryne
2.17.2020,third,Choiniere,16,4,RF,corynebac,yes1,,,,,,,1,CF156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,4_RF_third,coryne
2.17.2020,third,Choiniere,31,3,RH,corynebac,yes1,,,,,,,1,CF176,s,,,,,,,no,,yes,NA,NA,NA,NA,NA,35000,,,3_RH_third,coryne
3.16.2020,fourth,Choiniere,13,54,RH,corynebac,yes1,,,,,,,1,CF207,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,54_RH_fourth,coryne
3.16.2020,fourth,Choiniere,16,17,RF,corynebac,yes1,,,,,,,1,CF215,,,,,,,,no,,yes,NA,NA,NA,NA,NA,24000,,,17_RF_fourth,coryne
3.16.2020,fourth,Choiniere,18,38,LF,corynebac,yes1,,,,,,,1,CF218,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,38_LF_fourth,coryne
1.14.2020,first,Glennview,10,193,RF,corynebac,yes1,,,,,,,1,GV022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,193_RF_first,coryne
1.14.2020,first,Glennview,29,207,LF,corynebac,yes1,,,,,,,1,GV043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,207_LF_first,coryne
2.19.2020,second,Glennview,5,114,LF,corynebac,yes1,,,,,,,1,GV053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,,,114_LF_second,coryne
2.19.2020,second,Glennview,7,193,RF,corynebac,yes1,,,,,,,1,GV058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RF_second,coryne
3.19.2020,third,Glennview,4,193,RF,corynebac,yes1,,,,,,,1,GV105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RF_third,coryne
3.19.2020,third,Glennview,30,188,LH,corynebac,yes1,,,,,,,1,GV153,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,188_LH_third,coryne
1.29.2020,second,BJ,9,716,RF,corynebac,yes1,,,,,,,1,BJ038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,716_RF_second,coryne
1.29.2020,second,BJ,11,739,RH,corynebac,yes1,,,,,,,1,BJ041,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,,,739_RH_second,coryne
1.2.2020,first,Butterworks,17,nazareth,RH,corynebac,yes2,,,,,,,2,BW023,,,,,,,,no,,yes,NA,NA,NA,NA,NA,21000,,,nazareth_RH_first,coryne
1.2.2020,first,Butterworks,20,love,LH,corynebac,yes2,,,,,,,2,BW033,,,,,,,,,,yes,NA,NA,NA,NA,NA,4000,,,love_LH_first,coryne
1.2.2020,first,Butterworks,21,mandolin,RH,corynebac,yes2,,,,,,,2,BW037,,,,,,,,,,yes,NA,NA,NA,NA,NA,29000,,,mandolin_RH_first,coryne
3.3.2020,third,Butterworks,2,muffin,LF,corynebac,yes2,,,,,,,2,BW117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,muffin_LF_third,coryne
1.22.2020,second,Swallowdale,27,jazz,LH,corynebac,yes2,,,,,,,2,SW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,jazz_LH_second,coryne
2.28.2020,third,Swallowdale,16,jazz,LH,corynebac,yes2,,,,,,,2,SW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2200000,,,jazz_LH_third,coryne
12.12.2019,first,StonyPond,2,zag,LH,corynebac,yes2,,,,,,,2,SP001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,zag_LH_first,coryne
12.12.2019,first,StonyPond,23,abbi,RF,corynebac,yes2,,,,,,,2,SP030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,,,abbi_RF_first,coryne
12.11.2019,first,Choiniere,1,8,RF,corynebac,yes2,,,,,,,2,CF001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,21000,,,8_RF_first,coryne
12.11.2019,first,Choiniere,7,19,LH,corynebac,yes2,,,,,,,2,CF017,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,19_LH_first,coryne
12.11.2019,first,Choiniere,13,12,RF,corynebac,yes2,,,,,,,2,CF027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,16000,,,12_RF_first,coryne
12.11.2019,first,Choiniere,17,62,LH,corynebac,yes2,,,,,,,2,CF033,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,62_LH_first,coryne
12.11.2019,first,Choiniere,17,62,RF,corynebac,yes2,,,,,,,2,CF036,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5358000,,,62_RF_first,coryne
12.11.2019,first,Choiniere,21,4,RF,corynebac,yes2,,,,,,,2,CF044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,4_RF_first,coryne
1.21.2020,second,Choiniere,5,52,RF,corynebac,yes2,,,,,,,2,CF086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,52_RF_second,coryne
1.21.2020,second,Choiniere,7,40,RF,corynebac,yes2,,,,,,,2,CF091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,11000,,,40_RF_second,coryne
1.21.2020,second,Choiniere,15,4,RF,corynebac,yes2,,,,,,,2,CF100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,4_RF_second,coryne
1.21.2020,second,Choiniere,18,3,LF,corynebac,yes2,,,,,,,2,CF109,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,3_LF_second,coryne
1.21.2020,second,Choiniere,29,41,RH,corynebac,yes2,,,,,,,1,CF123,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,41_RH_second,coryne
1.21.2020,second,Choiniere,30,74,RH,corynebac,yes2,,,,,,,2,CF126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,77000,,,74_RH_second,coryne
1.21.2020,second,Choiniere,35,35,LF,corynebac,yes2,,,,,,,2,CF132,,,,,,,,no,,yes,NA,NA,NA,NA,NA,23000,,,35_LF_second,coryne
2.17.2020,third,Choiniere,8,32,LF,corynebac,yes2,,,,,,,2,CF145,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,32_LF_third,coryne
2.17.2020,third,Choiniere,14,12,LH,corynebac,yes2,,,,,,,2,CF152,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,12_LH_third,coryne
2.17.2020,third,Choiniere,15,74,RH,corynebac,yes2,,,,,,,2,CF155,,,,,,,,,,yes,NA,NA,NA,NA,NA,43000,,,74_RH_third,coryne
3.16.2020,fourth,Choiniere,1,86,LF,corynebac,yes2,,,,,,,2,CF185,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1500000,,,86_LF_fourth,coryne
3.16.2020,fourth,Choiniere,6,66,LH,corynebac,yes2,,,,,,,2,CF194,,,,,,,,no,,yes,NA,NA,NA,NA,NA,25000,,,66_LH_fourth,coryne
3.16.2020,fourth,Choiniere,7,35,LH,corynebac,yes2,,,,,,,2,CF198,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,35_LH_fourth,coryne
3.16.2020,fourth,Choiniere,9,12,LF,corynebac,yes2,,,,,,,2,CF200,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,12_LF_fourth,coryne
3.16.2020,fourth,Choiniere,9,12,RH,corynebac,yes2,,,,,,,2,CF201,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,,,12_RH_fourth,coryne
3.16.2020,fourth,Choiniere,11,19,LF,corynebac,yes2,,,,,,,2,CF205,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,19_LF_fourth,coryne
3.16.2020,fourth,Choiniere,32,69,LH,corynebac,yes2,,,,,,,2,CF236,,,,,,,,no,,yes,NA,NA,NA,NA,NA,94000,,,69_LH_fourth,coryne
3.16.2020,fourth,Choiniere,32,69,LF,corynebac,yes2,,,,,,,2,CF237,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,69_LF_fourth,coryne
3.16.2020,fourth,Choiniere,34,4,RF,corynebac,yes2,,,,,,,2,CF243,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,4_RF_fourth,coryne
1.14.2020,first,Glennview,5,206,RH,corynebac,yes2,,,,,,,2,GV006,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,206_RH_first,coryne
1.14.2020,first,Glennview,5,206,RF,corynebac,yes2,,,,,,,2,GV007,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,206_RF_first,coryne
1.14.2020,first,Glennview,6,165,LF,corynebac,yes2,,,,,,,2,GV009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,,,165_LF_first,coryne
1.14.2020,first,Glennview,10,193,RH,corynebac,yes2,,,,,,,2,GV021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RH_first,coryne
1.14.2020,first,Glennview,12,174,RF,corynebac,yes2,,,,,,,2,GV026,,,,,,,,no,,yes,NA,NA,NA,NA,NA,17000,,,174_RF_first,coryne
1.14.2020,first,Glennview,31,175,RF,corynebac,yes2,,,,,,,2,GV044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,175_RF_first,coryne
2.19.2020,second,Glennview,5,114,RH,corynebac,yes2,,,,,,,2,GV054,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,114_RH_second,coryne
2.19.2020,second,Glennview,8,133,LF,corynebac,yes2,,,,,,,2,GV060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,33000,,,133_LF_second,coryne
2.19.2020,second,Glennview,19,188,LH,corynebac,yes2,corynebac,other18,,,,,2,GV074,GV075,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,188_LH_second,coryne
2.19.2020,second,Glennview,26,190,RH,corynebac,yes2,,,,,,,2,GV084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,17000,,,190_RH_second,coryne
2.19.2020,second,Glennview,28,128,LH,corynebac,yes2,,,,,,,2,GV087,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,128_LH_second,coryne
3.19.2020,third,Glennview,11,137,RH,corynebac,yes2,,,,,,,2,GV118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,137_RH_third,coryne
3.19.2020,third,Glennview,19,185,RH,corynebac,yes2,,,,,,,2,GV135,,,,,,,,no,,yes,NA,NA,NA,NA,NA,18000,,,185_RH_third,coryne
3.19.2020,third,Glennview,25,43,LF,corynebac,yes2,,,,,,,2,GV140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,60000,,,43_LF_third,coryne
3.19.2020,third,Glennview,32,84,LH,corynebac,yes2,,,,,,,2,GV155,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,84_LH_third,coryne
1.3.2020,first,OughtaBe,29,penny,RF,corynebac,yes2,,,,,,,2,OB039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,penny_RF_first,coryne
2.14.2020,second,OughtaBe,4,teach,LF,corynebac,yes2,,,,,,,2,OB060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,teach_LF_second,coryne
2.14.2020,second,OughtaBe,19,lemon,LH,corynebac,yes2,,,,,,,2,OB082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,lemon_LH_second,coryne
2.14.2020,second,OughtaBe,19,lemon,RH,corynebac,yes2,,,,,,,2,OB083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,lemon_RH_second,coryne
3.12.2020,third,OughtaBe,21,spice,RH,corynebac,yes2,,,,,,,2,OB146,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,,,spice_RH_third,coryne
