cow_id,inf_type
165_Glennview_RF,chron
205_Glennview_LH,chron
205_Glennview_RH,chron
42_Glennview_LF,chron
716_BJ_LH,chron
716_BJ_LH,chron
716_BJ_LH,chron
720_BJ_RH,chron
720_BJ_RH,chron
720_BJ_RH,chron
733_BJ_LF,chron
733_BJ_LF,chron
733_BJ_LF,chron
739_BJ_LH,chron
79_Glennview_RH,chron
alf_OughtaBe_RF,chron
amber_Swallowdale_LH,chron
cambric_Swallowdale_LH,chron
cb5_BJ_LF,chron
cb5_BJ_LF,chron
cb5_BJ_LF,chron
chaloopa_Lynd_RH,chron
gift379_Paddlebridge_LF,chron
gift379_Paddlebridge_RF,chron
goldie_Swallowdale_LF,chron
goody_OughtaBe_LH,chron
kandykorn_OughtaBe_LF,chron
katie_OughtaBe_LH,chron
khakibeige_Lynd_LF,chron
khakibeige_Lynd_LF,chron
khakibeige_Lynd_LF,chron
kit_OughtaBe_LH,chron
korny_OughtaBe_LF,chron
korny_OughtaBe_RF,chron
korny_OughtaBe_RH,chron
krone_Lynd_LF,chron
krone_Lynd_LF,chron
krone_Lynd_LF,chron
krone_Lynd_RF,chron
krone_Lynd_RF,chron
krone_Lynd_RF,chron
krone_Lynd_RH,chron
krone_Lynd_RH,chron
krone_Lynd_RH,chron
licorice_Lynd_RH,chron
lilac_Lynd_RH,chron
lop_Lynd_LH,chron
lop_Lynd_LH,chron
lop_Lynd_LH,chron
manzana_Butterworks_RH,chron
manzana_Butterworks_RH,chron
marjoram_Butterworks_RH,chron
marjoram_Butterworks_RH,chron
marshmellow_Swallowdale_LF,chron
martina_Lynd_LH,chron
martina_Lynd_LH,chron
martina_Lynd_LH,chron
muffin_Butterworks_LH,chron
muffin_Butterworks_RH,chron
paige_Swallowdale_RH,chron
pasta_Swallowdale_LF,chron
quantum_Swallowdale_LF,chron
racer_OughtaBe_RF,chron
rhubarb_Butterworks_RF,chron
shiela375_Paddlebridge_RH,chron
tiktoe_OughtaBe_LF,chron
tiktoe_OughtaBe_LH,chron
tiktoe_OughtaBe_RF,chron
173_Glennview_LH,chron2
173_Glennview_RH,chron2
192_Glennview_RF,chron2
192_Glennview_RF,chron2
198_Glennview_LH,chron2
198_Glennview_LH,chron2
199_Glennview_LH,chron2
199_Glennview_LH,chron2
199_Glennview_RH,chron2
199_Glennview_RH,chron2
70_Glennview_LF,chron2
70_Glennview_LF,chron2
761_BJ_LH,chron2
761_BJ_LH,chron2
ambrosia_Lynd_LH,chron2
ambrosia_Lynd_LH,chron2
bon_Butterworks_RF,chron2
bon_Butterworks_RF,chron2
cassia_Swallowdale_LH,chron2
cassia_Swallowdale_LH,chron2
chaloopa_Lynd_LF,chron2
chaloopa_Lynd_LF,chron2
chipotle_Butterworks_RF,chron2
denise_Swallowdale_LF,chron2
dorian_Swallowdale_LH,chron2
faith_Lynd_LH,chron2
faith_Lynd_LH,chron2
ginger_OughtaBe_RH,chron2
hawthorn_Butterworks_RH,chron2
hawthorn_Butterworks_RH,chron2
jitterbug_Lynd_RH,chron2
jitterbug_Lynd_RH,chron2
jolene_Butterworks_RF,chron2
klondike_Lynd_RF,chron2
klondike_Lynd_RF,chron2
kowabunga_Lynd_LF,chron2
kowabunga_Lynd_LF,chron2
kowabunga_Lynd_RF,chron2
kowabunga_Lynd_RF,chron2
ladyfinger_Lynd_RH,chron2
ladyfinger_Lynd_RH,chron2
life_Lynd_LF,chron2
life_Lynd_LF,chron2
lioness_Lynd_RH,chron2
lovage_Lynd_LF,chron2
lovage_Lynd_LF,chron2
luxurytax_Lynd_LF,chron2
luxurytax_Lynd_LF,chron2
manzana_Butterworks_RF,chron2
manzana_Butterworks_RF,chron2
melissa_Butterworks_LH,chron2
melissa_Butterworks_LH,chron2
nazareth_Butterworks_LF,chron2
nazareth_Butterworks_LF,chron2
nebula_Butterworks_RH,chron2
nebula_Butterworks_RH,chron2
nellie_Butterworks_LH,chron2
nellie_Butterworks_LH,chron2
nellie_Butterworks_RH,chron2
nellie_Butterworks_RH,chron2
noel_Butterworks_LF,chron2
paige_Swallowdale_LH,chron2
peacock_OughtaBe_LF,chron2
peacock_OughtaBe_LH,chron2
petunia_Butterworks_LH,chron2
petunia_Butterworks_LH,chron2
pledge_Swallowdale_LF,chron2
pledge_Swallowdale_LF,chron2
pledge_Swallowdale_RF,chron2
pledge_Swallowdale_RF,chron2
pledge_Swallowdale_RH,chron2
pledge_Swallowdale_RH,chron2
pomme_Butterworks_LF,chron2
webster_Lynd_RF,chron2
webster_Lynd_RF,chron2
