date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,path,scc_div_100k,ls
1.21.2020,second,Choiniere,16,7,RH,cns,yes1,,,,,,,1,CF103,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,7_RH_second,CNS,0.02,-2.64385619
3.20.2020,third,Paddlebridge,30,chapstick1,RH,cns,yes1,,,,,,,1,PB095,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,chapstick1_RH_third,CNS,0.02,-2.64385619
1.6.2020,first,vonTrapp,32,imogene,LH,cns,yes1,,,,,,,1,VT029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,imogene_LH_first,CNS,0.02,-2.64385619
3.10.2020,third,vonTrapp,22,iris,LH,cns,yes1,,,,,,,1,VT090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,iris_LH_third,CNS,0.02,-2.64385619
3.16.2020,fourth,Choiniere,30,7,RF,cns,yes2,,,,,,,2,CF232,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,7_RF_fourth,CNS,0.02,-2.64385619
3.12.2020,third,OughtaBe,11,izzie,LF,cns,yes2,,,,,,,2,OB128,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,izzie_LF_third,CNS,0.02,-2.64385619
3.10.2020,third,vonTrapp,34,hosana,LF,cns,yes2,,,,,,,2,VT098,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,hosana_LF_third,CNS,0.02,-2.64385619
2.19.2020,second,Glennview,7,193,RF,corynebac,yes1,,,,,,,1,GV058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RF_second,Corynebacterium_spp,0.02,-2.64385619
3.19.2020,third,Glennview,4,193,RF,corynebac,yes1,,,,,,,1,GV105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RF_third,Corynebacterium_spp,0.02,-2.64385619
1.29.2020,second,BJ,9,716,RF,corynebac,yes1,,,,,,,1,BJ038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,716_RF_second,Corynebacterium_spp,0.02,-2.64385619
1.21.2020,second,Choiniere,15,4,RF,corynebac,yes2,,,,,,,2,CF100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,4_RF_second,Corynebacterium_spp,0.02,-2.64385619
1.14.2020,first,Glennview,10,193,RH,corynebac,yes2,,,,,,,2,GV021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,193_RH_first,Corynebacterium_spp,0.02,-2.64385619
1.3.2020,first,OughtaBe,29,penny,RF,corynebac,yes2,,,,,,,2,OB039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,penny_RF_first,Corynebacterium_spp,0.02,-2.64385619
1.2.2020,first,Butterworks,22,avocado,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,avocado_LH_first,Negative,0.02,-2.64385619
3.3.2020,third,Butterworks,4,pomme,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,pomme_RF_third,Negative,0.02,-2.64385619
3.3.2020,third,Butterworks,11,rhubarb,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,rhubarb_RH_third,Negative,0.02,-2.64385619
3.3.2020,third,Butterworks,15,mustard,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,mustard_LH_third,Negative,0.02,-2.64385619
3.3.2020,third,Butterworks,32,bon,LH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,bon_LH_third,Negative,0.02,-2.64385619
12.13.2019,first,Swallowdale,7,skyler,LF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,skyler_LF_first,Negative,0.02,-2.64385619
