cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,first_scc_200k,second_scc_200k,third_scc_200k,fourth_scc_200k
114_Glennview,RF,1.14.2020,first,Glennview,24,,,,,,,,,10,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,114_Glennview_RF,2.19.2020,second,Glennview,5,sa,yes1,,,,,,,1,GV055,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,,,114_Glennview_RF,3.19.2020,third,Glennview,33,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,29000,,,114_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_RF_fourth,no,no,no,NA
165_Glennview,LH,1.14.2020,first,Glennview,6,sa,yes2,,,,,,,2,GV008,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1900000,,,165_Glennview_LH,2.19.2020,second,Glennview,23,sa,yes2,,,,,,,2,GV079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1.00E+06,,,165_Glennview_LH,3.19.2020,third,Glennview,8,sa,yes2,,,,,,,2,GV113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2400000,,,165_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165_Glennview_LH_fourth,yes,yes,yes,NA
169_Glennview,RF,1.14.2020,first,Glennview,23,sa,yes2,,,,,,,2,GV033,,,,,,,,no,,yes,NA,NA,NA,NA,NA,44000,,,169_Glennview_RF,2.19.2020,second,Glennview,27,sa,yes2,,,,,,,2,GV086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,96000,,,169_Glennview_RF,3.19.2020,third,Glennview,34,sa,yes2,,,,,,,2,GV156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,42000,,,169_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169_Glennview_RF_fourth,no,no,no,NA
17_Choiniere,LF,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,CF037,,,,,,,,no,,yes,NA,NA,NA,NA,NA,334000,,,17_Choiniere_LF,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,CF082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,990000,,,17_Choiniere_LF,2.17.2020,third,Choiniere,5,sa,yes2,,,,,,,2,CF139,,,,,,,,no,,yes,NA,NA,NA,NA,NA,490000,,,17_Choiniere_LF,3.16.2020,fourth,Choiniere,16,sa,yes2,,,,,,,2,CF213,,,,,,,,no,,yes,NA,NA,NA,NA,NA,420000,,,17_Choiniere_LF_fourth,yes,yes,yes,yes
17_Choiniere,RH,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,CF038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,656000,,,17_Choiniere_RH,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,CF083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,,,17_Choiniere_RH,2.17.2020,third,Choiniere,5,sa,yes2,,,,,,,2,CF140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,17_Choiniere_RH,3.16.2020,fourth,Choiniere,16,sa,yes2,,,,,,,2,CF214,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3.00E+06,,,17_Choiniere_RH_fourth,yes,yes,yes,yes
27_Glennview,LH,1.14.2020,first,Glennview,18,sa,yes27,strep,yes27,,,,,27,GV028,GV029,,,,,,,yes,,yes,NA,NA,NA,NA,NA,370000,,,27_Glennview_LH,2.19.2020,second,Glennview,14,strep,other12,sa,other12,,,,,12,GV067,GV068,,,,,,,,,no,NA,NA,NA,NA,NA,1400000,,,27_Glennview_LH,3.19.2020,third,Glennview,26,strep,yes27,sa,yes27,,,,,27,GV142,GV143,,,,,,,yes,,yes,NA,NA,NA,NA,NA,850000,,,27_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27_Glennview_LH_fourth,yes,yes,yes,NA
32_Choiniere,RH,12.11.2019,first,Choiniere,9,sa,yes2,,,,,,,2,CF021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,933000,,,32_Choiniere_RH,1.21.2020,second,Choiniere,17,sa,yes2,,,,,,,2,CF106,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,32_Choiniere_RH,2.17.2020,third,Choiniere,8,sa,yes2,,,,,,,2,CF146,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1.00E+06,,,32_Choiniere_RH,3.16.2020,fourth,Choiniere,21,sa,yes2,,,,,,,2,CF222,,,,,,,,no,,yes,NA,NA,NA,NA,NA,790000,,,32_Choiniere_RH_fourth,yes,yes,yes,yes
40_Choiniere,LF,12.11.2019,first,Choiniere,6,sa,yes2,,,,,,,2,CF014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,719000,,,40_Choiniere_LF,1.21.2020,second,Choiniere,7,sa,yes2,,,,,,,2,CF089,,,,,,,,no,,yes,NA,NA,NA,NA,NA,540000,,,40_Choiniere_LF,2.17.2020,third,Choiniere,7,sa,yes2,,,,,,,2,CF143,,,,,,,,no,,yes,NA,NA,NA,NA,NA,770000,,,40_Choiniere_LF,3.16.2020,fourth,Choiniere,10,sa,yes2,,,,,,,2,CF203,,,,,,,,no,,yes,NA,NA,NA,NA,NA,690000,,,40_Choiniere_LF_fourth,yes,yes,yes,yes
40_Choiniere,LH,12.11.2019,first,Choiniere,6,sa,yes2,,,,,,,2,CF013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1244000,,,40_Choiniere_LH,1.21.2020,second,Choiniere,7,sa,yes2,,,,,,,2,CF088,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1500000,,,40_Choiniere_LH,2.17.2020,third,Choiniere,7,sa,yes2,,,,,,,2,CF142,,,,,,,,no,,yes,NA,NA,NA,NA,NA,760000,,,40_Choiniere_LH,3.16.2020,fourth,Choiniere,10,sa,yes2,,,,,,,2,CF202,,,,,,,,no,,yes,NA,NA,NA,NA,NA,720000,,,40_Choiniere_LH_fourth,yes,yes,yes,yes
62_Choiniere,RH,12.11.2019,first,Choiniere,17,sa,yes2,,,,,,,2,CF035,,,,,,,,no,,yes,NA,NA,NA,NA,NA,478000,,,62_Choiniere_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62_Choiniere_RH_fourth,yes,NA,NA,NA
