farm,uniqueID,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,IMI_series
BJ,656_LH_second,656,LH,strep,yes27,sa,yes27,,,,,27,BJ027,BJ028,,,yes
BJ,656_LH_third,656,LH,sa,yes27,strep,yes27,,,,,27,BJ051,BJ052,,,yes
BJ,701_LH_first,701,LH,sa,yes2,sa,other18,,,,,2,BJ014,BJ015,,,yes
BJ,701_LH_second,701,LH,sa,other17,,,,,,,17,BJ046,,,,no
BJ,701_LH_third,701,LH,sa,yes2,,,,,,,2,BJ074,,,,yes
BJ,720_LF_first,720,LF,sa,yes2,,,,,,,2,BJ010,,,,yes
BJ,720_LF_second,720,LF,sa,yes2,,,,,,,2,BJ032,,,,yes
BJ,720_LF_third,720,LF,sa,yes2,,,,,,,2,BJ060,,,,yes
BJ,720_RF_second,720,RF,sa,yes1,,,,,,,1,BJ034,,,,yes
BJ,720_RF_third,720,RF,sa,yes2,,,,,,,2,BJ062,,,,yes
BJ,733_RF_first,733,RF,sa,yes2,,,,,,,2,BJ013,,,,yes
BJ,733_RF_second,733,RF,sa,yes2,,,,,,,2,BJ045,,,,yes
BJ,733_RF_third,733,RF,sa,other12,,,,,,,12,BJ073,,,,no
BJ,761_LH_second,761,LH,sa,yes2,,,,,,,2,BJ047,,,,yes
,,,,,,,,,,,,,,,,,
Butterworks,applecore_LH_first,applecore,LH,sa,yes2,,,,,,,2,BW056,,,,yes
Butterworks,applecore_LH_second,applecore,LH,sa,yes2,,,,,,,2,BW108,,,,yes
Butterworks,applecore_LH_third,applecore,LH,sa,yes2,,,,,,,2,BW156,,,,yes
Butterworks,applecore_RF_first,applecore,RF,sa,yes2,,,,,,,2,BW058,,,,yes
Butterworks,applecore_RF_second,applecore,RF,sa,yes2,,,,,,,2,BW109,,,,yes
Butterworks,applecore_RF_third,applecore,RF,sa,yes2,,,,,,,2,BW158,,,,yes
Butterworks,applecore_RH_first,applecore,RH,sa,yes2,,,,,,,2,BW057,,,,yes
Butterworks,applecore_RH_third,applecore,RH,sa,yes2,,,,,,,2,BW157,,,,yes
Butterworks,eva_LH_second,eva,LH,sa,yes2,,,,,,,2,BW104,,,,yes
Butterworks,eva_LH_third,eva,LH,sa,no5,,,,,,,5,BW149,,,,no
Butterworks,lilac_RH_first,lilac,RH,sa,yes2,,,,,,,2,BW062,,,,yes
Butterworks,lilac_RH_second,lilac,RH,sa,yes2,,,,,,,2,BW107,,,,yes
Butterworks,lilac_RH_third,lilac,RH,sa,yes2,,,,,,,2,BW162,,,,yes
Butterworks,manzana_LF_first,manzana,LF,sa,yes2,,,,,,,2,BW030,,,,yes
Butterworks,manzana_LF_second,manzana,LF,sa,yes2,,,,,,,2,BW090,,,,yes
Butterworks,manzana_LF_third,manzana,LF,sa,yes2,,,,,,,2,BW138,,,,yes
Butterworks,peace_LF_first,peace,LF,sa,yes2,,,,,,,2,BW051,,,,yes
Butterworks,peace_LF_second,peace,LF,sa,yes2,sa,other18,,,,,2,BW102,BW103,,,yes
Butterworks,peace_LF_third,peace,LF,sa,yes2,,,,,,,2,BW151,,,,yes
Butterworks,plantain_LF_first,plantain,LF,sa,yes2,,,,,,,2,BW064,,,,yes
,,,,,,,,,,,,,,,,,
Choiniere,17_LF_first,17,LF,sa,yes2,,,,,,,2,CF037,,,,yes
Choiniere,17_LF_fourth,17,LF,sa,yes2,,,,,,,2,CF213,,,,yes
Choiniere,17_LF_second,17,LF,sa,yes2,,,,,,,2,CF082,,,,yes
Choiniere,17_LF_third,17,LF,sa,yes2,,,,,,,2,CF139,,,,yes
Choiniere,17_RH_first,17,RH,sa,yes2,,,,,,,2,CF038,,,,yes
Choiniere,17_RH_fourth,17,RH,sa,yes2,,,,,,,2,CF214,,,,yes
Choiniere,17_RH_second,17,RH,sa,yes2,,,,,,,2,CF083,,,,yes
Choiniere,17_RH_third,17,RH,sa,yes2,,,,,,,2,CF140,,,,yes
Choiniere,32_RH_first,32,RH,sa,yes2,,,,,,,2,CF021,,,,yes
Choiniere,32_RH_fourth,32,RH,sa,yes2,,,,,,,2,CF222,,,,yes
Choiniere,32_RH_second,32,RH,sa,yes2,,,,,,,2,CF106,,,,yes
Choiniere,32_RH_third,32,RH,sa,yes2,,,,,,,2,CF146,,,,yes
Choiniere,40_LF_first,40,LF,sa,yes2,,,,,,,2,CF014,,,,yes
Choiniere,40_LF_fourth,40,LF,sa,yes2,,,,,,,2,CF203,,,,yes
Choiniere,40_LF_second,40,LF,sa,yes2,,,,,,,2,CF089,,,,yes
Choiniere,40_LF_third,40,LF,sa,yes2,,,,,,,2,CF143,,,,yes
Choiniere,40_LH_first,40,LH,sa,yes2,,,,,,,2,CF013,,,,yes
Choiniere,40_LH_fourth,40,LH,sa,yes2,,,,,,,2,CF202,,,,yes
Choiniere,40_LH_second,40,LH,sa,yes2,,,,,,,2,CF088,,,,yes
Choiniere,40_LH_third,40,LH,sa,yes2,,,,,,,2,CF142,,,,yes
Choiniere,62_RH_first,62,RH,sa,yes2,,,,,,,2,CF035,,,,yes
Choiniere,66_LF_first,66,LF,sa,yes2,,,,,,,2,CF005,,,,yes
Choiniere,66_LF_fourth,66,LF,sa,yes2,,,,,,,2,CF195,,,,yes
Choiniere,66_LF_second,66,LF,sa,yes2,,,,,,,2,CF081,,,,yes
Choiniere,66_LF_third,66,LF,sa,yes2,,,,,,,2,CF141,,,,yes
Choiniere,69_RF_second,69,RF,sa,yes2,,,,,,,2,CF094,,,,yes
Choiniere,74_LF_first,74,LF,sa,yes2,,,,,,,2,CF046,,,,yes
Choiniere,74_LF_fourth,74,LF,sa,other4,,,,,,,4,CF216,,,,no
Choiniere,74_LF_second,74,LF,sa,other12,corynebac,other12,,,,,12,CF124,CF125,,,no
Choiniere,74_LF_third,74,LF,sa,yes1,,,,,,,1,CF154,,,,yes
Choiniere,86_LH_first,86,LH,sa,yes24,strep,yes24,corynebac,yes24,,,24,CF008,CF064,CF079,,yes
Choiniere,86_LH_fourth,86,LH,strep,yes24,corynebac,yes24,sa,yes24,,,24,CF182,CF183,CF184,,yes
Choiniere,86_LH_second,86,LH,sa,yes24,corynebac,yes24,strep,yes24,,,24,CF096,CF097,CF098,,yes
Choiniere,86_LH_third,86,LH,sa,yes24,corynebac,yes24,strep,yes24,,,24,CF160,CF161,CF162,,yes
Choiniere,9_LF_first,9,LF,sa,yes2,,,,,,,2,CF032,,,,yes
