"","date","visit","farm","cow_id","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2"
"1","12.13.2019","first","Swallowdale","pledge",NA,NA,NA,NA
"2","12.13.2019","first","Swallowdale","shelly",NA,NA,NA,NA
"3","12.13.2019","first","Swallowdale","picknick",NA,NA,NA,NA
"4","12.13.2019","first","Swallowdale","deedee",NA,NA,NA,NA
"5","12.13.2019","first","Swallowdale","sparky",NA,NA,NA,NA
"6","12.13.2019","first","Swallowdale","denise",NA,NA,NA,NA
"7","12.13.2019","first","Swallowdale","skyler",NA,NA,NA,NA
"8","12.13.2019","first","Swallowdale","cambric",NA,NA,NA,NA
"9","12.13.2019","first","Swallowdale","diane",NA,NA,NA,NA
"10","12.13.2019","first","Swallowdale","gretchen",NA,NA,NA,NA
"11","12.13.2019","first","Swallowdale","paige",NA,NA,NA,NA
"12","12.13.2019","first","Swallowdale","denver",NA,NA,NA,NA
"13","12.13.2019","first","Swallowdale","dorian",NA,NA,NA,NA
"14","12.13.2019","first","Swallowdale","quantum",NA,NA,NA,NA
"15","12.13.2019","first","Swallowdale","goldie",NA,NA,NA,NA
"16","12.13.2019","first","Swallowdale","jazz",NA,NA,NA,NA
"17","12.13.2019","first","Swallowdale","sondra",NA,NA,NA,NA
"18","12.13.2019","first","Swallowdale","halo",NA,NA,NA,NA
"19","12.13.2019","first","Swallowdale","sonic",NA,NA,NA,NA
"20","12.13.2019","first","Swallowdale","sadie",NA,NA,NA,NA
"21","12.13.2019","first","Swallowdale","pasta",NA,NA,NA,NA
"22","12.13.2019","first","Swallowdale","pamela",NA,NA,NA,NA
"23","12.13.2019","first","Swallowdale","rock7",NA,NA,NA,NA
"24","12.13.2019","first","Swallowdale","flossy",NA,NA,NA,NA
"25","12.13.2019","first","Swallowdale","zap",NA,NA,NA,NA
"26","12.13.2019","first","Swallowdale","amber",NA,NA,NA,NA
"27","12.13.2019","first","Swallowdale","marshmellow",NA,NA,NA,NA
"28","12.13.2019","first","Swallowdale","zeal",NA,NA,NA,NA
"29","12.13.2019","first","Swallowdale","ferris",NA,NA,NA,NA
"30","12.13.2019","first","Swallowdale","cassia",NA,NA,NA,NA
"31","12.13.2019","first","Swallowdale","jewel",NA,NA,NA,NA
"32","12.13.2019","first","Swallowdale","debutant",NA,NA,NA,NA
"33","12.13.2019","first","Swallowdale","marta",NA,NA,NA,NA
"34","12.13.2019","first","Swallowdale","mabel",NA,NA,NA,NA
"35","12.13.2019","first","Swallowdale","maisie",NA,NA,NA,NA
"36","1.22.2020","second","Swallowdale","picknick","j",1,NA,NA
"37","1.22.2020","second","Swallowdale","diane","j",2,NA,NA
"38","1.22.2020","second","Swallowdale","zap","j",1,NA,NA
"39","1.22.2020","second","Swallowdale","sparky","j",1,NA,NA
"40","1.22.2020","second","Swallowdale","29","j",1,NA,NA
"41","1.22.2020","second","Swallowdale","goldie","j",2,NA,NA
"42","1.22.2020","second","Swallowdale","paige","j",2,NA,NA
"43","1.22.2020","second","Swallowdale","marshmellow","j",1,NA,NA
"44","1.22.2020","second","Swallowdale","casbah","j",1,NA,NA
"45","1.22.2020","second","Swallowdale","flossy","j",2,NA,NA
"46","1.22.2020","second","Swallowdale","amber","j",2,NA,NA
"47","1.22.2020","second","Swallowdale","gretchen","j",2,NA,NA
"48","1.22.2020","second","Swallowdale","maisie","j",1,NA,NA
"49","1.22.2020","second","Swallowdale","cambric","j",1,NA,NA
"50","1.22.2020","second","Swallowdale","quantum","j",1,NA,NA
"51","1.22.2020","second","Swallowdale","shelly","j",NA,NA,NA
"52","1.22.2020","second","Swallowdale","rock7","j",2,NA,NA
"53","1.22.2020","second","Swallowdale","marta","j",2,NA,NA
"54","1.22.2020","second","Swallowdale","dorian","j",2,NA,NA
"55","1.22.2020","second","Swallowdale","pasta","j",1,NA,NA
"56","1.22.2020","second","Swallowdale","denise","j",1,NA,NA
"57","1.22.2020","second","Swallowdale","skyler","j",1,NA,NA
"58","1.22.2020","second","Swallowdale","pamela","j",2,NA,NA
"59","1.22.2020","second","Swallowdale","halo","j",1,NA,NA
"60","1.22.2020","second","Swallowdale","debutant","j",1,NA,NA
"61","1.22.2020","second","Swallowdale","ferris","j",3,NA,NA
"62","1.22.2020","second","Swallowdale","jazz","j",1,NA,NA
"63","1.22.2020","second","Swallowdale","sondra","j",1,NA,NA
"64","1.22.2020","second","Swallowdale","denver","j",1,NA,NA
"65","1.22.2020","second","Swallowdale","sonic","j",NA,NA,NA
"66","1.22.2020","second","Swallowdale","cassia","j",NA,NA,NA
"67","1.22.2020","second","Swallowdale","pledge","j",1,NA,NA
"68","1.22.2020","second","Swallowdale","opal","j",1,NA,NA
"69","1.22.2020","second","Swallowdale","jewel","j",NA,NA,NA
"70","1.22.2020","second","Swallowdale","gigi","j",NA,NA,NA
"71","1.22.2020","second","Swallowdale","deedee","j",1,NA,NA
"72","2.28.2020","third","Swallowdale","sparky",NA,NA,NA,NA
"73","2.28.2020","third","Swallowdale","diane",NA,NA,NA,NA
"74","2.28.2020","third","Swallowdale","quantum",NA,NA,NA,NA
"75","2.28.2020","third","Swallowdale","pasta",NA,NA,NA,NA
"76","2.28.2020","third","Swallowdale","paige",NA,NA,NA,NA
"77","2.28.2020","third","Swallowdale","dorian",NA,NA,NA,NA
"78","2.28.2020","third","Swallowdale","picknick",NA,NA,NA,NA
"79","2.28.2020","third","Swallowdale","casbah",NA,NA,NA,NA
"80","2.28.2020","third","Swallowdale","29",NA,NA,NA,NA
"81","2.28.2020","third","Swallowdale","debutant",NA,NA,NA,NA
"82","2.28.2020","third","Swallowdale","pledge",NA,NA,NA,NA
"83","2.28.2020","third","Swallowdale","maisie",NA,NA,NA,NA
"84","2.28.2020","third","Swallowdale","amber",NA,NA,NA,NA
"85","2.28.2020","third","Swallowdale","gretchen",NA,NA,NA,NA
"86","2.28.2020","third","Swallowdale","deedee",NA,NA,NA,NA
"87","2.28.2020","third","Swallowdale","jazz",NA,NA,NA,NA
"88","2.28.2020","third","Swallowdale","cambric",NA,NA,NA,NA
"89","2.28.2020","third","Swallowdale","shelly",NA,NA,NA,NA
