"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID","first_scc_200k","second_scc_200k","third_scc_200k","fourth_scc_200k"
"1","114_Glennview","LF","1.14.2020","first","Glennview",24,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","114_Glennview_LF","2.19.2020","second","Glennview",5,"corynebac","yes1","","","","","","",1,"GV053","","","","","","","","no","","yes","NA","NA","NA","NA","NA",40000,"","","114_Glennview_LF","3.19.2020","third","Glennview",33,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",22000,"","","114_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114_Glennview_LF_fourth","no","no","no",NA
"2","194_Glennview","RH","1.14.2020","first","Glennview",32,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","194_Glennview_RH","2.19.2020","second","Glennview",6,"strep","yes27","corynebac","yes27","","","","",27,"GV056","GV057","","","","","","","yes","","yes","NA","NA","NA","NA","NA",10000,"","","194_Glennview_RH","3.19.2020","third","Glennview",1,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","194_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194_Glennview_RH_fourth","no","no","no",NA
"3","204_Glennview","LH","1.14.2020","first","Glennview",14,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",13000,"","","204_Glennview_LH","2.19.2020","second","Glennview",29,"cns","yes2","","","","","","",2,"GV088","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4000,"","","204_Glennview_LH","3.19.2020","third","Glennview",22,"","","","","","","","",8,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"yes","","204_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"204_Glennview_LH_fourth","no","no","no",NA
"4","3_Choiniere","LF","12.11.2019","first","Choiniere",14,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","3_Choiniere_LF","1.21.2020","second","Choiniere",18,"corynebac","yes2","","","","","","",2,"CF109","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4000,"","","3_Choiniere_LF","2.17.2020","third","Choiniere",31,"","","","","","","","",4,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","3_Choiniere_LF","3.16.2020","fourth","Choiniere",23,"","","","","","","","",7,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","3_Choiniere_LF_fourth","no","no","no","no"
"5","41_Choiniere","RH","12.11.2019","first","Choiniere",11,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","41_Choiniere_RH","1.21.2020","second","Choiniere",29,"corynebac","yes2","","","","","","",1,"CF123","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4000,"","","41_Choiniere_RH","2.17.2020","third","Choiniere",12,"","","","","","","","",4,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","41_Choiniere_RH","3.16.2020","fourth","Choiniere",15,"","","","","","","","",3,"","","","","","","yes","","","","","NA","NA","NA","NA","NA",6000,"","","41_Choiniere_RH_fourth","no","no","no","no"
"6","670_BJ","RH","12.17.2019","first","BJ",9,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",16000,"","","670_BJ_RH","1.29.2020","second","BJ",10,"corynebac","yes2","","","","","","",2,"BJ039","","","","","","","","no","","yes","NA","NA","NA","NA","NA",37000,"","","670_BJ_RH","2.26.2020","third","BJ",10,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",27000,"","","670_BJ_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"670_BJ_RH_fourth","no","no","no",NA
"7","693_BJ","LH","12.17.2019","first","BJ",12,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","693_BJ_LH","1.29.2020","second","BJ",13,"cns","yes2","","","","","","",2,"BJ042","","","","","","","","no","","yes","NA","NA","NA","NA","NA",8000,"","","693_BJ_LH","2.26.2020","third","BJ",15,"cns","yes1","","","","","","",1,"BJ065","","","","","","","","no","","yes","NA","NA","NA","NA","NA",13000,"","","693_BJ_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"693_BJ_LH_fourth","no","no","no",NA
"8","7_Choiniere","RH","12.11.2019","first","Choiniere",20,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","7_Choiniere_RH","1.21.2020","second","Choiniere",16,"cns","yes1","","","","","","",1,"CF103","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"","","7_Choiniere_RH","2.17.2020","third","Choiniere",13,"","","","","","","","",8,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"yes","","7_Choiniere_RH","3.16.2020","fourth","Choiniere",30,"","","","","","","","",4,"","","","","","","","","","","","NA","NA","NA","NA","NA",22000,"","","7_Choiniere_RH_fourth","no","no","no","no"
"9","716_BJ","RF","12.17.2019","first","BJ",4,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","716_BJ_RF","1.29.2020","second","BJ",9,"corynebac","yes1","","","","","","",1,"BJ038","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"","","716_BJ_RF","2.26.2020","third","BJ",11,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",10000,"","","716_BJ_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"716_BJ_RF_fourth","no","no","no",NA
"10","720_BJ","RF","12.17.2019","first","BJ",10,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",209000,"","","720_BJ_RF","1.29.2020","second","BJ",7,"sa","yes1","","","","","","",1,"BJ034","","","","","","","","no","","yes","NA","NA","NA","NA","NA",62000,"","","720_BJ_RF","2.26.2020","third","BJ",12,"sa","yes2","","","","","","",2,"BJ062","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4100000,"","","720_BJ_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720_BJ_RF_fourth","yes","no","yes",NA
"11","722_BJ","LH","12.17.2019","first","BJ",29,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","722_BJ_LH","1.29.2020","second","BJ",29,"corynebac","yes2","","","","","","",2,"BJ048","","","","","","","","no","","yes","NA","NA","NA","NA","NA",26000,"","","722_BJ_LH","2.26.2020","third","BJ",28,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","722_BJ_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"722_BJ_LH_fourth","no","no","no",NA
"12","74_Choiniere","RH","12.11.2019","first","Choiniere",24,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",21000,"","","74_Choiniere_RH","1.21.2020","second","Choiniere",30,"corynebac","yes2","","","","","","",2,"CF126","","","","","","","","no","","yes","NA","NA","NA","NA","NA",77000,"","","74_Choiniere_RH","2.17.2020","third","Choiniere",15,"corynebac","yes2","","","","","","",2,"CF155","","","","","","","","","","yes","NA","NA","NA","NA","NA",43000,"","","74_Choiniere_RH","3.16.2020","fourth","Choiniere",17,"corynebac","other12","","","","","","",12,"CF217","","","","","","","","no","","no","NA","NA","NA","NA","NA",37000,"","","74_Choiniere_RH_fourth","no","no","no","no"
