id,stat201_test_1,stat201_test_2,class
1,76.54714808,84.37960581,2
2,82.51346669,82.71461988,2
3,85.54199182,84.33801292,1
4,82.48763994,87.50986739,2
5,81.73107164,83.63738567,2
6,75.78111477,85.86877516,1
7,83.39210274,82.07482279,3
8,82.18820556,81.42488661,2
9,86.14096569,82.4675174,3
10,85.61030362,81.17058959,1
11,74.06060013,83.13938149,2
12,78.16895394,81.35185661,2
13,81.7243287,82.77023129,3
14,73.85387669,84.7233283,2
15,75.54980287,85.22186439,3
16,88.37937073,84.03401644,2
17,83.13658633,80.03698401,1
18,84.52472997,84.29261178,2
19,82.60966335,82.06528443,2
20,79.07743837,83.46393524,3
21,73.42821364,86.42728829,3
22,75.35251886,83.34757338,2
23,83.27787858,84.45119002,1
24,76.90341308,83.06252352,1
25,81.1085608,87.53328918,2
26,71.79459108,82.27275249,1
27,80.65940733,82.63765863,2
28,76.75930809,82.96735202,2
29,86.53584466,82.70717829,1
30,74.18844813,85.88292704,3
31,85.46374774,83.79579655,2
32,76.56262748,85.11622487,2
33,78.68936488,85.03812131,2
34,77.33244239,80.70849272,1
35,73.80776262,78.29077717,2
36,84.01161881,85.56957899,2
37,81.09324181,85.85742344,2
38,78.12223005,79.17527003,3
39,84.82205644,81.61958725,1
40,80.7771301,82.50289021,1
41,75.35172827,83.30814147,2
42,83.27561821,81.4232424,3
43,75.27414888,84.93408334,2
44,79.11840812,82.23232228,2
45,79.7431207,82.32057672,2
46,80.77948853,81.9782815,1
47,83.82534972,83.8872202,2
48,78.29213444,82.64267812,2
49,79.30425715,83.67494953,1
50,81.8292059,86.06300962,2
51,77.55147538,81.03814245,2
52,84.80075966,81.29266777,1
53,77.04721386,86.39229085,2
54,73.43077849,83.2979301,3
55,79.72778518,80.35025284,2
56,84.45595966,84.54926741,2
57,89.05059101,81.3122111,1
58,77.82672102,83.11961158,1
59,80.92271278,78.9055295,2
60,80.90678693,78.00170882,2
61,76.38936956,84.79835459,3
62,75.88041312,84.22601025,2
63,80.30708385,83.9893844,1
64,79.55408326,80.04150204,3
65,80.02416662,82.56184453,2
66,83.99182495,83.1057432,3
67,75.97226522,82.87906237,2
68,82.68940057,86.27896127,3
69,89.93890594,82.68749149,2
70,75.11724573,81.2812484,3
71,82.46377374,79.56057701,2
72,75.80891621,83.05000866,2
73,80.83947298,83.81519693,3
74,80.35562697,83.99800924,2
75,75.11784416,81.84820553,3
76,80.5908216,84.49426658,3
77,82.23422491,87.7423077,2
78,83.73669064,82.0413544,3
79,90.56021582,81.25545055,2
80,79.16298884,82.19947583,1
81,74.10760418,82.55058235,2
82,83.53816858,83.14940911,2
83,74.26452937,84.15920121,2
84,76.79705697,80.57534917,3
85,80.15342719,82.50757999,2
86,79.44268633,82.90279583,2
87,79.29737281,86.22626863,2
88,81.65838955,82.01583514,2
89,82.40749237,82.46961836,3
90,79.88850868,78.84518215,2
91,81.63159019,82.57392382,2
92,79.17284719,82.39329515,2
93,75.3182256,85.0486081,3
94,78.00912514,84.92859328,1
95,76.67681223,82.39008407,1
96,75.56961977,81.3586502,3
97,73.40947365,84.44804792,1
98,78.03609509,83.90633422,2
99,74.21006608,83.30489422,2
100,76.64034628,80.41849654,2
101,82.8927589,81.65595348,1
102,80.21585287,85.93609992,2
103,82.81768053,80.69069047,3
104,73.11453571,82.16272089,3
105,83.82084914,83.09961414,1
106,82.35506016,85.35459993,1
107,73.89357604,85.24863772,1
108,81.06627343,81.1163286,2
109,80.29934288,80.46707521,2
110,76.05720669,83.47642482,1
111,75.95160168,85.84176056,3
112,76.92507558,82.05915643,1
113,75.96689147,82.39748771,2
114,81.05643918,81.49609741,3
115,83.10807272,83.6057931,3
116,75.02997717,82.33941502,2
117,73.07509489,85.28662777,1
118,85.13098561,82.95381776,2
119,81.65069486,84.71769714,1
120,71.7595552,82.18995923,2
121,82.83669203,81.2351007,2
122,77.52347749,85.88797571,2
123,74.32851814,83.04788274,2
124,84.16792375,81.57627183,2
125,80.26777911,83.68037497,3
126,77.57595577,85.4063759,1
127,69.80610009,81.46547235,2
128,72.00545233,84.84084689,3
129,84.54564423,84.35004103,2
130,81.06751089,84.98992209,1
131,78.4050956,81.39318213,2
132,88.05149916,84.81312042,1
133,78.41931804,85.07066279,3
134,75.03508591,82.70753108,2
135,78.54262188,83.72224377,1
136,74.9936888,82.13949526,3
137,73.00348306,82.67189879,2
138,80.29665495,83.12500617,1
139,79.47072263,85.17798795,1
140,83.49867118,86.95573407,1
141,81.45800588,81.77355388,2
142,77.09473204,81.10463603,2
143,77.70285006,81.70698211,3
144,84.20748612,82.18023033,3
145,78.96646069,79.04836332,1
146,83.28905859,81.48905358,2
147,84.83021466,79.03137527,1
148,82.42649541,82.80364497,2
149,77.32904676,85.73358611,3
150,75.29751359,83.21030901,2
151,75.07784893,80.02711319,3
152,75.98991014,81.53073518,1
153,82.43554149,84.62472643,1
154,79.20094348,84.87029737,2
155,77.19163831,83.33318317,2
156,77.29597047,84.70664302,3
157,80.30770633,82.36290446,3
158,79.01361288,83.20901911,2
159,76.84193408,81.25583596,2
160,80.82376865,78.32369719,2
161,83.84432818,82.24598093,2
162,79.06180933,82.51635528,3
163,74.15480493,83.49522625,2
164,75.0065523,84.34049535,3
165,81.52149836,82.04336778,3
166,86.82514005,83.5116157,3
167,86.45935108,82.05148413,2
168,80.38684836,81.74281041,3
169,80.72560114,81.00621911,2
170,81.37669812,81.12803493,1
171,83.47800055,80.08103066,2
172,76.31105747,87.83831637,3
173,83.59541489,85.14618002,3
174,79.77951349,83.13920115,3
175,76.37070265,83.03858833,2
176,77.78942576,82.21627977,3
177,87.90971952,81.52001409,2
178,85.47349091,82.05363894,3
179,74.64271872,83.2915256,2
180,79.12029106,84.05669648,2
181,76.79148554,83.5452248,1
182,86.48177808,84.63467616,2
183,82.432985,82.13377742,2
184,83.87488547,82.91903608,1
185,74.72025903,83.66955194,2
186,86.94174257,82.06912679,1
187,79.3436824,81.71595779,2
188,78.52146026,79.95772772,1
189,84.93833803,82.21103365,2
190,75.86338001,84.1973022,1
191,74.59211587,85.21842732,3
192,82.09479287,85.15967623,2
193,77.81884731,82.7627065,1
194,78.47126082,83.03511703,3
195,76.47257071,83.15410359,2
196,72.94006245,77.01501602,1
197,75.38847329,85.31099005,2
198,73.38766486,80.77447053,2
199,76.09770302,84.75556755,2
200,82.14286543,85.39951381,1
201,89.13346074,82.21993756,1
202,79.13263775,80.12745811,1
203,80.23060615,86.40489467,1
204,82.2334682,83.2859939,1
205,74.30990838,83.49193962,2
206,81.66515641,79.27857715,3
207,78.37620768,83.52831685,2
208,81.2125565,81.91824954,2
209,84.95457464,81.64862001,3
210,80.74225358,81.63862034,2
211,79.62725216,82.44274364,3
212,71.47426002,87.82614119,3
213,75.31475455,81.20792409,2
214,80.1626151,83.14345025,2
215,76.21816496,83.83762219,3
216,74.60928035,82.96202548,3
217,75.57287139,84.71792022,3
218,75.14843581,83.28701965,3
219,81.13665126,82.55037687,2
220,79.1206142,81.94885432,2
221,80.44488756,85.35888502,2
222,78.18592699,83.96135818,1
223,83.71334217,82.76380569,2
224,78.13937149,82.78793326,2
225,75.45709903,85.41139641,3
226,80.28084192,85.20486225,2
227,81.13007193,81.77841197,2
228,77.63372332,83.21825457,2
229,81.09113566,84.6329737,3
230,76.136365,86.72204525,3
231,78.50572868,86.54914777,2
232,78.21230663,82.15671218,1
233,81.79243735,85.9168422,1
234,85.50578486,81.98001555,2
235,82.82265244,84.69745579,3
236,78.98232289,80.01612409,3
237,76.13697379,83.12261009,1
238,85.94911036,79.40882815,2
239,83.81169836,81.75510918,2
240,78.6845863,80.5225794,2
241,76.40492552,81.03315162,2
242,77.91690561,86.51238005,1
243,78.32440254,87.14281933,2
244,83.64297408,81.36590545,3
245,76.3657086,87.43106723,1
246,75.16192717,82.42733899,1
247,80.78854012,85.55515977,2
248,87.69329489,85.38841265,2
249,84.05648392,80.66751607,3
250,79.88386191,80.64393077,2
