,Var1,Freq,,,,,,,,,,,,,
1,BJ,9,,,,,,,,,,,,,
2,Butterworks,11,,,,,,,,,,,,,
3,Choiniere,7,,,,,,,,,,,,,
4,Glennview,9,,,,,,,,,,,,,
5,Lynd,6,,,,,,,,,,,,,
6,OughtaBe,6,,,,,,,,,,,,,
7,Paddlebridge,1,,,,BJ,Butterworks,Choiniere,Glennview,Lynd,OughtaBe,Paddlebridge,StonyPond,Swallowdale,vonTrapp
8,StonyPond,2,,,,9,11,7,9,6,6,1,2,7,3
9,Swallowdale,7,,,,,,,,,,,,,
10,vonTrapp,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,BJ,Butterworks,Choiniere,Glennview,Lynd,OughtaBe,Paddlebridge,,Swallowdale,vonTrapp
,,,,,,5,2,5,8,3,3,2,,2,4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,Choiniere,,,,,,,
,,,,,,,,2,,,,,,,
,,,,,,14,13,14,17,9,9,3,2,9,7
