"","date","visit","farm","order","cow_id","quarter","path_1","path1_imi","path_2","path2_imi","path_3","path3_imi","path_4","path4_imi","quarter_code","isolate_1","path_1_maldi_final_id","fix_1","isolate_2","path_2_maldi_final_id","fix_2","isolate_3","path_3_maldi_final_id","fix_3","isolate_4","path_4_maldi_final_id","fix_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","imi_series","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment"
"1","12.13.2019","first","Swallowdale",2,"shelly","LH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,57000,"",""
"2","12.13.2019","first","Swallowdale",2,"shelly","LF","","","","","","","","",6,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,40000,"",""
"3","12.13.2019","first","Swallowdale",2,"shelly","RH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,58000,"",""
"4","12.13.2019","first","Swallowdale",2,"shelly","RF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,134000,"",""
"5","12.13.2019","first","Swallowdale",3,"picknick","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,4000,"",""
"6","12.13.2019","first","Swallowdale",3,"picknick","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,3000,"",""
"7","12.13.2019","first","Swallowdale",4,"deedee","LH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,31000,"",""
"8","12.13.2019","first","Swallowdale",4,"deedee","LF","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,5000,"",""
"9","12.13.2019","first","Swallowdale",4,"deedee","RF","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,26000,"",""
"10","12.13.2019","first","Swallowdale",5,"sparky","LH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,8000,"",""
"11","12.13.2019","first","Swallowdale",5,"sparky","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,8000,"",""
"12","12.13.2019","first","Swallowdale",5,"sparky","RH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,8000,"",""
"13","12.13.2019","first","Swallowdale",5,"sparky","RF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,6000,"",""
"14","12.13.2019","first","Swallowdale",6,"denise","LF","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,23000,"",""
"15","12.13.2019","first","Swallowdale",6,"denise","RH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,22000,"",""
"16","12.13.2019","first","Swallowdale",7,"skyler","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,3000,"",""
"17","12.13.2019","first","Swallowdale",7,"skyler","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,2000,"",""
"18","12.13.2019","first","Swallowdale",7,"skyler","RH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,4000,"",""
"19","12.13.2019","first","Swallowdale",8,"cambric","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,2000,"",""
"20","12.13.2019","first","Swallowdale",8,"cambric","RF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,3000,"",""
"21","12.13.2019","first","Swallowdale",9,"diane","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,2000,"",""
"22","12.13.2019","first","Swallowdale",9,"diane","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,13000,"",""
"23","12.13.2019","first","Swallowdale",9,"diane","RH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,2000,"",""
"24","12.13.2019","first","Swallowdale",10,"gretchen","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,8000,"",""
"25","12.13.2019","first","Swallowdale",10,"gretchen","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,60000,"",""
"26","12.13.2019","first","Swallowdale",10,"gretchen","RH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,16000,"",""
"27","12.13.2019","first","Swallowdale",11,"paige","LF","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,9000,"",""
"28","12.13.2019","first","Swallowdale",12,"denver","LH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,6000,"",""
"29","12.13.2019","first","Swallowdale",13,"dorian","RH","","","","","","","","",6,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,28000,"",""
"30","12.13.2019","first","Swallowdale",14,"quantum","LH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,6000,"",""
"31","12.13.2019","first","Swallowdale",14,"quantum","RH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,10000,"",""
"32","12.13.2019","first","Swallowdale",14,"quantum","RF","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,9000,"",""
"33","12.13.2019","first","Swallowdale",16,"jazz","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,6000,"",""
"34","12.13.2019","first","Swallowdale",16,"jazz","RH","","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,6000,"",""
"35","12.13.2019","first","Swallowdale",18,"halo","LH","","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,5000,"",""
