"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_imi","first_path_2","first_path2_imi","first_path_3","first_path3_imi","first_path_4","first_path4_imi","first_quarter_code","first_isolate_1","first_path_1_maldi_final_id","first_fix_1","first_isolate_2","first_path_2_maldi_final_id","first_fix_2","first_isolate_3","first_path_3_maldi_final_id","first_fix_3","first_isolate_4","first_path_4_maldi_final_id","first_fix_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed.inf_series","first_dup_not_collected","first_imi_series","first_hygiene_scorer_1","first_hygiene_1","first_hygiene_scorer_2","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_imi","second_path_2","second_path2_imi","second_path_3","second_path3_imi","second_path_4","second_path4_imi","second_quarter_code","second_isolate_1","second_path_1_maldi_final_id","second_fix_1","second_isolate_2","second_path_2_maldi_final_id","second_fix_2","second_isolate_3","second_path_3_maldi_final_id","second_fix_3","second_isolate_4","second_path_4_maldi_final_id","second_fix_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed.inf_series","second_dup_not_collected","second_imi_series","second_hygiene_scorer_1","second_hygiene_1","second_hygiene_scorer_2","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_imi","third_path_2","third_path2_imi","third_path_3","third_path3_imi","third_path_4","third_path4_imi","third_quarter_code","third_isolate_1","third_path_1_maldi_final_id","third_fix_1","third_isolate_2","third_path_2_maldi_final_id","third_fix_2","third_isolate_3","third_path_3_maldi_final_id","third_fix_3","third_isolate_4","third_path_4_maldi_final_id","third_fix_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed.inf_series","third_dup_not_collected","third_imi_series","third_hygiene_scorer_1","third_hygiene_1","third_hygiene_scorer_2","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_imi","fourth_path_2","fourth_path2_imi","fourth_path_3","fourth_path3_imi","fourth_path_4","fourth_path4_imi","fourth_quarter_code","fourth_isolate_1","fourth_path_1_maldi_final_id","fourth_fix_1","fourth_isolate_2","fourth_path_2_maldi_final_id","fourth_fix_2","fourth_isolate_3","fourth_path_3_maldi_final_id","fourth_fix_3","fourth_isolate_4","fourth_path_4_maldi_final_id","fourth_fix_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed.inf_series","fourth_dup_not_collected","fourth_imi_series","fourth_hygiene_scorer_1","fourth_hygiene_1","fourth_hygiene_scorer_2","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"1410","spice_OughtaBe","LH","1.3.2020","first","OughtaBe",23,"cns","yes2","","","","","","",2,"ob031","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,"34000","","","spice_OughtaBe_LH","2.14.2020","second","OughtaBe",21,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",1,"c",1,NA,NA,NA,"42000","","","spice_OughtaBe_LH","3.12.2020","third","OughtaBe",21,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",3,"c",2,NA,NA,NA,"8000","","","spice_OughtaBe_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spice_OughtaBe_LH_fourth"
"1411","spice_OughtaBe","RF","1.3.2020","first","OughtaBe",23,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"24000","","","spice_OughtaBe_RF","2.14.2020","second","OughtaBe",21,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",1,"c",1,NA,NA,NA,"33000","","","spice_OughtaBe_RF","3.12.2020","third","OughtaBe",21,"corynebac","yes2","","","","","","",2,"ob147","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",2,NA,NA,NA,"3000","","","spice_OughtaBe_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spice_OughtaBe_RF_fourth"
"1412","spice_OughtaBe","RH","1.3.2020","first","OughtaBe",23,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"43000","","","spice_OughtaBe_RH","2.14.2020","second","OughtaBe",21,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",1,"c",1,NA,NA,NA,"66000","","","spice_OughtaBe_RH","3.12.2020","third","OughtaBe",21,"corynebac","yes2","","","","","","",2,"ob146","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",2,NA,NA,NA,"12000","","","spice_OughtaBe_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spice_OughtaBe_RH_fourth"
"1413","spot_OughtaBe","LF","1.3.2020","first","OughtaBe",25,"?","other12","","","","","","",12,"ob034","","","","","","","",NA,"","",NA,"","","","","","","no","j",4,"c",3,NA,NA,NA,"0","","","spot_OughtaBe_LF","2.14.2020","second","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",3,"c",2,NA,NA,NA,"4000","","","spot_OughtaBe_LF","3.12.2020","third","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"0","","","spot_OughtaBe_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spot_OughtaBe_LF_fourth"
"1414","spot_OughtaBe","LH","1.3.2020","first","OughtaBe",25,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",4,"c",3,NA,NA,NA,"10000","","","spot_OughtaBe_LH","2.14.2020","second","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",3,"c",2,NA,NA,NA,"6000","","","spot_OughtaBe_LH","3.12.2020","third","OughtaBe",28,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"2000","","","spot_OughtaBe_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spot_OughtaBe_LH_fourth"
"1415","spot_OughtaBe","RF","1.3.2020","first","OughtaBe",25,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",4,"c",3,NA,NA,NA,"2000","","","spot_OughtaBe_RF","2.14.2020","second","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",3,"c",2,NA,NA,NA,"12000","","","spot_OughtaBe_RF","3.12.2020","third","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"0","","","spot_OughtaBe_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spot_OughtaBe_RF_fourth"
"1416","spot_OughtaBe","RH","1.3.2020","first","OughtaBe",25,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",4,"c",3,NA,NA,NA,"2000","","","spot_OughtaBe_RH","2.14.2020","second","OughtaBe",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","t",3,"c",2,NA,NA,NA,"9000","","","spot_OughtaBe_RH","3.12.2020","third","OughtaBe",28,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"0","","","spot_OughtaBe_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spot_OughtaBe_RH_fourth"
"1417","stamina391_Paddlebridge","LF","1.17.2020","first","Paddlebridge",11,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"2000","","","stamina391_Paddlebridge_LF","2.21.2020","second","Paddlebridge",11,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","m",1,"c",2,NA,NA,NA,"4000","","","stamina391_Paddlebridge_LF","3.20.2020","third","Paddlebridge",13,"","","","","","","","",10,"","","","","","","","",NA,"","",NA,"","","","","","","","j",1,"c",1,NA,NA,NA,"4000","","","stamina391_Paddlebridge_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stamina391_Paddlebridge_LF_fourth"
"1418","stamina391_Paddlebridge","LH","1.17.2020","first","Paddlebridge",11,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"12000","","","stamina391_Paddlebridge_LH","2.21.2020","second","Paddlebridge",11,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","m",1,"c",2,NA,NA,NA,"4000","","","stamina391_Paddlebridge_LH","3.20.2020","third","Paddlebridge",13,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",1,"c",1,NA,NA,NA,"2000","","","stamina391_Paddlebridge_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stamina391_Paddlebridge_LH_fourth"
"1419","stamina391_Paddlebridge","RF","1.17.2020","first","Paddlebridge",11,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"4000","","","stamina391_Paddlebridge_RF","2.21.2020","second","Paddlebridge",11,"","","","","","","","",10,"","","","","","","","",NA,"","",NA,"","","","","","","","m",1,"c",2,NA,NA,NA,"3000","","","stamina391_Paddlebridge_RF","3.20.2020","third","Paddlebridge",13,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",1,"c",1,NA,NA,NA,"2000","","","stamina391_Paddlebridge_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stamina391_Paddlebridge_RF_fourth"
