"complex","year","max_Total_males","min_Total_males","SD_Total_males","mean_Total_males","freq"
"3corners",1970,26,26,NA,26,1
"3corners",1971,22,6,8.50490054811538,12.3333333333333,3
"3corners",1972,26,0,15.0111069989303,8.66666666666667,3
"3corners",1973,32,0,14.7958327466441,10.25,4
"3corners",1974,18,6,6.02771377334171,12.3333333333333,3
"3corners",1975,17,2,7.54983443527075,10,3
"3corners",1976,26,4,11.3724814061547,13.3333333333333,3
"3corners",1977,40,6,18.8237438713273,18.3333333333333,3
"3corners",1978,59,9,28.5832118559129,26,3
"3corners",1979,33,5,15.1437555888007,15.6666666666667,3
"3corners",1980,18,4,6.1400325732035,10.2,5
"3corners",1981,15,4,3.82970843102535,11.3333333333333,6
"3corners",1982,7,0,2.68328157299975,3,6
"3corners",1983,13,1,5.08920425999979,7.5,6
"3corners",1985,11,5,3.05505046330389,8.33333333333333,3
"3corners",1986,13,1,5.74456264653803,5.5,4
"3corners",1987,9,1,2.86356421265527,5.2,5
"3corners",1988,13,0,5.56477013601341,4.16666666666667,6
"3corners",1989,13,0,5.26940856896357,4.16666666666667,6
"3corners",1990,26,0,11.4367827643966,7.4,5
"3corners",1991,7,0,3.04959013639538,4.6,5
"3corners",1992,7,0,2.60768096208106,3.4,5
"3corners",1993,10,4,4.24264068711928,7,2
"3corners",1994,6,5,0.707106781186548,5.5,2
"3corners",1996,19,0,7.20185161376341,5.33333333333333,6
"3corners",1997,16,0,6.58533724775479,3.83333333333333,6
"3corners",1998,12,0,5.19615242270663,5,5
"3corners",1999,19,0,13.4350288425444,9.5,2
"3corners",2000,40,0,16.8760184877832,14,6
"3corners",2001,41,0,16.1327823597378,10.3333333333333,6
"3corners",2002,40,0,15.5402702679201,9.5,6
"3corners",2003,54,0,20.0141616528564,16.8333333333333,6
"3corners",2004,98,0,33.168401486096,25.1428571428571,7
"3corners",2005,133,0,46.0631037144646,31.1428571428571,7
"3corners",2006,129,6,42.6491779633838,34.5714285714286,7
"3corners",2007,80,5,26.0237986319848,26.2857142857143,7
"Blue",1988,60,0,25.5499510762741,27.4,5
"Blue",1989,29,0,12.6095202129185,12.5,4
"Blue",1990,39,0,15.5980768045295,11.6,5
"Blue",1992,22,0,9.53939201416946,7,5
"Blue",1996,23,0,10.0995049383621,5,5
"Blue",1997,23,0,10.285912696499,4.6,5
"Blue",1999,7,0,3.5,1.75,4
"Blue",2000,31,0,13.5535973084639,9.2,5
"Blue",2001,12,0,4.97995983919549,3.6,5
"Blue",2002,42,0,19.0262975904404,13,5
"Blue",2003,26,0,10.6301458127346,9,5
"Blue",2004,44,0,18.3084679861533,14.8,5
"Blue",2005,43,2,14.45518526178,14.5714285714286,7
"Blue",2006,34,1,10.4880884817015,16,8
"Blue",2007,40,6,10.0773791944419,18.875,8
"book_cliffs",1976,16,16,NA,16,1
"book_cliffs",1977,22,22,NA,22,1
"book_cliffs",1978,10,10,NA,10,1
"book_cliffs",1979,9,9,NA,9,1
"book_cliffs",1980,1,0,0.707106781186548,0.5,2
"book_cliffs",1981,3,0,2.12132034355964,1.5,2
"book_cliffs",1982,6,0,4.24264068711928,3,2
"book_cliffs",1983,20,1,8.58292879305582,12.5,4
"book_cliffs",1985,39,4,14.9666295470958,14,5
"book_cliffs",1986,44,2,19.3907194296653,16,4
"book_cliffs",1987,36,0,15.3460092532228,10,5
"book_cliffs",1988,39,0,17.4068951855292,15.5,4
"book_cliffs",1990,7,0,3.78593889720018,2.66666666666667,3
"book_cliffs",1991,23,0,8.48528137423857,9,5
"book_cliffs",1992,16,8,4.35889894354067,13,3
"book_cliffs",1993,25,6,13.4350288425444,15.5,2
"book_cliffs",1994,23,3,10.1488915650922,12,3
"book_cliffs",1996,40,0,28.2842712474619,20,2
"book_cliffs",1997,39,0,20.7926268983343,15.3333333333333,3
"book_cliffs",1998,28,0,19.7989898732233,14,2
"book_cliffs",1999,29,0,14.5716619962629,13.6666666666667,3
"book_cliffs",2000,24,0,11.7046999107196,9.5,4
"book_cliffs",2001,18,0,12.7279220613579,9,2
"book_cliffs",2002,27,0,12.0747670784989,5.4,5
"book_cliffs",2003,12,0,4.89897948556636,2,5
"book_cliffs",2004,14,0,5.47722557505166,4,6
"book_cliffs",2005,19,0,7.31274165249877,4.85714285714286,7
"book_cliffs",2006,20,0,7.5213980463361,3.71428571428571,7
"book_cliffs",2007,17,0,6.59545297913646,4.5,6
"Diamond",1967,101,33,48.0832611206852,67,2
"Diamond",1969,69,29,28.2842712474619,49,2
"Diamond",1970,51,3,21.0930478278192,26.25,4
"Diamond",1971,33,0,14.4077525427574,15.25,4
"Diamond",1972,66,0,28.8236014404862,22.4,5
"Diamond",1973,38,0,14.5814624650289,15.5714285714286,7
"Diamond",1974,48,0,18.1541022518721,16.7142857142857,7
"Diamond",1975,90,12,33.9656689418399,46.5,4
"Diamond",1976,82,11,31.6267292017369,43.75,4
"Diamond",1977,97,5,33.8629591146432,32.5,6
"Diamond",1978,136,3,53.4892512566777,57.5,6
"Diamond",1979,117,0,47.0772414938117,46.3333333333333,6
"Diamond",1980,32,0,11.6045967903528,9.66666666666667,6
"Diamond",1981,62,3,22.9412292608744,25.6,5
"Diamond",1982,112,0,43.2962661977527,27.8333333333333,6
"Diamond",1983,82,0,31.8480768650165,20.5,6
"Diamond",1985,43,0,16.7172565532346,13.3333333333333,6
"Diamond",1986,45,0,22.2867673743861,20.8,5
"Diamond",1987,61,3,27.20906711619,21.5,4
"Diamond",1988,51,0,17.9199609374574,19.625,8
"Diamond",1989,58,0,22.9731727601276,18.8333333333333,6
"Diamond",1990,110,5,41.3557734784395,41.6,5
"Diamond",1991,146,0,55.9490839960763,35.5,6
"Diamond",1992,67,2,27.1900717174486,26.4,5
"Diamond",1993,76,1,39.8789836045671,30.6666666666667,3
"Diamond",1994,76,3,41.8608807042247,27.6666666666667,3
"Diamond",1996,58,0,18.052832517496,23.7142857142857,7
"Diamond",1997,53,17,14.5086181285469,29,5
"Diamond",1998,110,0,36.9459064038223,39,7
"Diamond",1999,84,2,36.7083096859553,41.5,6
"Diamond",2000,79,3,31.1940165202666,36.6666666666667,6
"Diamond",2001,99,0,34.4621946071758,28.25,8
"Diamond",2002,81,0,32.1869538788622,24,8
"Diamond",2003,82,0,27.4327098812453,24.625,8
"Diamond",2004,105,0,29.8076372444251,21.9333333333333,15
"Diamond",2005,122,0,37.1405853066841,25.3846153846154,13
"Diamond",2006,143,1,34.6070377065638,23.3333333333333,18
"Diamond",2007,108,0,24.4171531596346,13.25,20
