unique_ID,bands,pellet_treatment
moonwalk_Lynd_LH_first,med,1
moonwalk_Lynd_RF_first,strong,2
kooper_OughtaBe_LH_third,strong,1
205_Glennview_RH_third,med,2
ruger_OughtaBe_RF_third,weak,1
lordwalk_Lynd_RF_third,strong,2
avocado_Butterworks_LF_third,med,1
laugh_Lynd_RF_first,med,1
masala_Butterworks_RF_third,strong,2
grape_OughtaBe_LF_third,weak,1
grape_OughtaBe_RF_third,weak,2
733_BJ_LH_first,med,1
matilda_vonTrapp_RH_first,med,2
tilly_vonTrapp_LH_first,med,1
alaska_StonyPond_LH_first,strong,2
lassandra_vonTrapp_LH_first,med,1
mandolin_Butterworks_RF_first,weak,2
