Herd,SCC,RAW_CFU_ML,M_COLIFORMS,M_NON_AG_STREP,M_STAPH_AUREUS,M_STAPH_SPP,M_STREP_AG,B_BACILLUS,B_COLIFORMS,B_ENV_STREP,B_GRAM_NEG,B_STAPH_SPP,log_B_BACILLUS,log_B_COLIFORMS,log_B_ENV_STREP,log_B_GRAM_NEG,log_B_STAPH_SPP
OH01,140000,400,0,35,15,0,0,6250000,375000,6250000,6250000,7500,6.795880017,5.574031268,6.795880017,6.795880017,3.875061263
OH02,99000,600,0,10,30,40,0,6250000,180000,400000,100000,0,6.795880017,5.255272505,5.602059991,5,0
OH03,200000,3700,0,30,0,110,0,3850000,1250,700000,18250,500,6.58546073,3.096910013,5.84509804,4.261262869,2.698970004
OH04,85000,100,0,35,0,65,0,6250000,32500,850000,135000,50000,6.795880017,4.511883361,5.929418926,5.130333768,4.698970004
OH05,250000,1200,0,30,55,20,0,6250000,50000,6250000,5500000,900000,6.795880017,4.698970004,6.795880017,6.740362689,5.954242509
OH06,180000,2300,0,205,0,175,0,2500000,25,0,2250,0,6.397940009,1.397940009,0,3.352182518,0
OH07,250000,1000,0,130,320,15,0,6250000,500000,6250000,3400000,900000,6.795880017,5.698970004,6.795880017,6.531478917,5.954242509
OH08,98000,1500,0,35,0,125,0,6250000,12500,350000,15000,250,6.795880017,4.096910013,5.544068044,4.176091259,2.397940009
OH09,54000,1200,5,35,0,30,0,6250000,80000,6250000,1250000,250000,6.795880017,4.903089987,6.795880017,6.096910013,5.397940009
OH10,200000,800,0,70,55,665,0,1050000,1500,6250000,180000,150000,6.021189299,3.176091259,6.795880017,5.255272505,5.176091259
OH11,97000,300,0,45,50,25,0,6250000,15000,1500000,275000,10000,6.795880017,4.176091259,6.176091259,5.439332694,4
OH12,160000,1300,0,80,0,130,0,6250000,2950000,6250000,6250000,2600000,6.795880017,6.469822016,6.795880017,6.795880017,6.414973348
OH13,130000,400,0,25,35,60,0,6250000,500,6250000,850000,75000,6.795880017,2.698970004,6.795880017,5.929418926,4.875061263
OH14,140000,72000,5,310,0,80,0,3400000,475000,4200000,3500000,2500,6.531478917,5.67669361,6.62324929,6.544068044,3.397940009
OH15,97000,700,0,285,65,20,0,500000,9000,2575000,32500,125,5.698970004,3.954242509,6.410777233,4.511883361,2.096910013
OH16,170000,1000,0,205,45,130,0,650000,25,1150000,15000,300,5.812913357,1.397940009,6.06069784,4.176091259,2.477121255
OH17,120000,900,0,20,70,90,0,6250000,30000,6250000,375000,100000,6.795880017,4.477121255,6.795880017,5.574031268,5
OH18,110000,16000,5,1250,25,15,0,4000000,45000,3150000,850000,1500,6.602059991,4.653212514,6.498310554,5.929418926,3.176091259
OH19,100000,7500,5,35,0,130,0,550000,400000,975000,1775000,125000,5.740362689,5.602059991,5.989004616,6.249198357,5.096910013
OH20,200000,1700,5,155,50,75,0,325000,125,4500000,2500,250,5.511883361,2.096910013,6.653212514,3.397940009,2.397940009
OH21,150000,200,0,260,100,5,0,6250000,875,6250000,160000,17500,6.795880017,2.942008053,6.795880017,5.204119983,4.243038049
