Smple_ID,Smpl_dt,Hrd_cd,Lact_Dry,Used_NotUsed,Material,Mat_Type,Org_Inorg,SCC_1.1000_check_13_19
0H.01.LD.N.Wc,4.12.2019,0H.01,LD,N,Wc,W,O,140000
0H.01.LD.N.Ha,4.12.2019,0H.01,LD,N,Ha,F,O,140000
0H.01.D.U.HaWc,4.3.2019,0H.01,D,U,WcHa,WF,O,140000
0H.01.L.U.HaWc,4.3.2019,0H.01,L,U,WcHa,WF,O,140000
0H.02.LD.U.Sh,4.3.2019,0H.02,LD,U,Sh,W,O,99000
0H.02.LD.U.Sh,4.3.2019,0H.02,LD,U,Sh,W,O,99000
0H.02.LD.N.Sh,4.12.2019,0H.02,LD,N,Sh,W,O,99000
OH.04.L.N.Sw,4.10.2019,OH.04,L,N,Sw,W,O,85000
OH.04.L.U.Sw,4.10.2019,OH.04,L,U,Sw,W,O,85000
OH.04.D.N.HaSt,4.10.2019,OH.04,D,N,HaSt,F,O,85000
OH.04.D.U.HaSt,4.10.2019,OH.04,D,U,HaSt,F,O,85000
OH.03.LD.U.Sn,4.10.2019,OH.03,LD,U,Sn,S,I,200000
OH.03.LD.N.Sn,4.10.2019,OH.03,LD,N,Sn,S,I,200000
OH.05.LD.U.Sw,4.14.2019,OH.05,LD,U,Sw,W,O,250000
OH.05.LD.N.Sw,4.14.2019,OH.05,LD,N,Sw,W,O,250000
0H.07.LD.N.ShSw,4.22.2019,0H.07,LD,N,ShSw,W,O,250000
0H.07.LD.U.ShSw,4.22.2019,0H.07,LD,U,ShSw,W,O,250000
OH.06.LD.N.Sh,4.22.2019,OH.06,LD,N,Sh,W,O,180000
OH.06.L.U.Sh,4.22.2019,OH.06,L,U,Sh,W,O,180000
OH.06.D.U.Sh,4.22.2019,OH.06,D,U,Sh,W,O,180000
OH.08.LD.N.ShSw,4.23.2019,OH.08,LD,N,ShSw,W,O,98000
OH.08.LD.U.ShSw,4.23.2019,OH.08,LD,U,ShSw,W,O,98000
OH.09.LD.N.Ha,4.24.2019,OH.09,LD,N,Ha,F,O,54000
OH.09.LD.N.Sw,4.24.2019,OH.09,LD,N,Sw,W,O,54000
OH.09.LD.U.HaSw,4.24.2019,OH.09,LD,U,HaSw,WF,O,54000
0H.11.LD.U.ShSw,4.29.2019,0H.11,LD,U,ShSw,W,O,97000
0H.11.LD.N.ShSw,4.29.2019,0H.11,LD,N,ShSw,W,O,97000
0H.10.LD.U.ShSw,4.29.2019,0H.10,LD,U,ShSw,W,O,200000
0H.10.LD.N.ShSw,4.29.2019,0H.10,LD,N,ShSw,W,O,200000
0H.12.LD.N.Ha,4.30.2019,0H.12,LD,N,Ha,F,O,160000
0H.12.LD.N.St,4.30.2019,0H.12,LD,N,St,F,O,160000
0H.12.LD.N.Wc,4.30.2019,0H.12,LD,N,Wc,W,O,160000
0H.12.L.U.HaStWc,4.30.2019,0H.12,L,U,HaStWc,WF,O,160000
0H.12.D.U.HaStWc,4.30.2019,0H.12,D,U,HaStWc,WF,O,160000
0H.14.LD.U.Sw,5.6.2019,0H.14,LD,U,Sw,W,O,140000
0H.14.LD.N.Sw,5.6.2019,0H.14,LD,N,Sw,W,O,140000
0H.13.L.U.Sw,5.6.2019,0H.13,L,U,Sw,W,O,130000
0H.13.LD.N.Sw,5.6.2019,0H.13,LD,N,Sw,W,O,130000
0H.13.D.U.Sw,5.6.2019,0H.13,D,U,Sw,W,O,130000
0H.13.D.U.Sw,5.6.2019,0H.13,D,U,Sw,W,O,130000
0H.15.LD.U.Sw,5.8.2019,0H.15,LD,U,Sw,W,O,97000
0H.15.LD.N.Sw,5.8.2019,0H.15,LD,N,Sw,W,O,97000
0H.17.LD.U.ShWc,5.8.2019,0H.17,LD,U,ShWc,W,O,120000
0H.17.LD.N.ShWc,5.8.2019,0H.17,LD,N,ShWc,W,O,120000
0H.16.LD.U.Sw,5.8.2019,0H.16,LD,U,Sw,W,O,170000
0H.16.LD.N.Sw,5.8.2019,0H.16,LD,N,Sw,W,O,170000
0H.18.LD.U.ShWc,5.10.2019,0H.18,LD,U,ShWc,W,O,110000
0H.18.LD.N.ShWc,5.10.2019,0H.18,LD,N,ShWc,W,O,110000
0H.19.LD.U.Sw,5.10.2019,0H.19,LD,U,Sw,W,O,100000
0H.19.LD.N.Sw,5.10.2019,0H.19,LD,N,Sw,W,O,100000
0H.21.D.U.SnShSwHa,5.14.2019,0H.21,D,U,SnShSwHa,C,O,150000
0H.21.L.U.ShSw,5.14.2019,0H.21,L,U,ShSw,W,O,150000
0H.20.LD.U.ShSw,5.14.2019,0H.20,LD,U,ShSw,W,O,200000
0H.20.LD.N.ShSw,5.14.2019,0H.20,LD,N,ShSw,W,O,200000
