"","date","visit","farm","order","cow_id","quarter","path_1","path1_imi","path_2","path2_imi","path_3","path3_imi","path_4","path4_imi","quarter_code","isolate_1","path_1_maldi_final_id","fix_1","isolate_2","path_2_maldi_final_id","fix_2","isolate_3","path_3_maldi_final_id","fix_3","isolate_4","path_4_maldi_final_id","fix_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","imi_series","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment"
"1","12.13.2019","first","Swallowdale",28,"zeal","RF","sa","yes21","","","","","","",21,"sw047","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,919000,"",""
"2","1.22.2020","second","Swallowdale",35,"gigi","RH","sa","yes2","","","","","","",2,"sw091","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",NA,NA,NA,NA,NA,NA,1100000,"",""
"3","2.28.2020","third","Swallowdale",31,"gigi","RH","sa","yes1","","","","","","",1,"sw126","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,3e+06,"",""
"4","12.12.2019","first","StonyPond",14,"charlotte","LF","sa","yes2","","","","","","",2,"sp016","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,94000,"",""
"5","12.12.2019","first","StonyPond",21,"italia","RF","sa","yes2","sa","other18","sa","other18","","",2,"sp023","","","sp024","","","sp025","",NA,"","",NA,"","","","","no","","yes","j",3,NA,NA,NA,NA,NA,247000,"",""
"6","1.10.2020","second","StonyPond",15,"charlie","LF","sa","yes2","","","","","","",2,"sp047","","","","","","","",NA,"","",NA,"","","","yes","no","","yes","j",2,NA,NA,NA,NA,NA,330000,"",""
"7","1.14.2020","first","Glennview",6,"165","LH","sa","yes2","","","","","","",2,"gv008","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,1900000,"",""
"8","1.14.2020","first","Glennview",18,"27","LH","sa","yes27","strep","yes27","","","","",27,"gv028","","","gv029","","","","",NA,"","",NA,"","","","","yes","","yes","j",2,"c",2,NA,NA,NA,370000,"",""
"9","1.14.2020","first","Glennview",23,"169","RF","sa","yes2","","","","","","",2,"gv033","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,44000,"",""
"10","2.19.2020","second","Glennview",5,"114","RF","sa","yes1","","","","","","",1,"gv055","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",3,"c",2,NA,NA,NA,36000,"",""
"11","2.19.2020","second","Glennview",23,"165","LH","sa","yes2","","","","","","",2,"gv079","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",3,"c",2,NA,NA,NA,1e+06,"",""
"12","2.19.2020","second","Glennview",27,"169","RF","sa","yes2","","","","","","",2,"gv086","staphylococcus pseudintermedius ","yes","","","","","",NA,"","",NA,"","","","","no","","yes","m",3,"c",3,NA,NA,NA,96000,"",""
"13","3.19.2020","third","Glennview",8,"165","LH","sa","yes2","","","","","","",2,"gv113","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,2400000,"",""
"14","3.19.2020","third","Glennview",26,"27","LH","strep","yes27","sa","yes27","","","","",27,"gv142","streptococcus uberis","","gv143","staphylococcus aureus","","","",NA,"","",NA,"","","","","yes","","yes","j",1,"c",3,NA,NA,NA,850000,"",""
"15","3.19.2020","third","Glennview",34,"169","RF","sa","yes2","","","","","","",2,"gv156","staphylococcus species","yes","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,42000,"",""
"16","1.17.2020","first","Paddlebridge",10,"annabelle27","RF","sa","yes2","","","","","","",2,"pb004","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",2,NA,NA,NA,230000,"",""
"17","1.17.2020","first","Paddlebridge",23,"shania291","LF","sa","yes2","","","","","","",2,"pb015","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,4200000,"",""
"18","1.17.2020","first","Paddlebridge",29,"scrapie278","RF","sa","yes1","","","","","","",1,"pb022","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,330000,"",""
"19","1.17.2020","first","Paddlebridge",31,"marney382","LF","sa","yes1","","","","","","",1,"pb025","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,1800000,"",""
"20","2.21.2020","second","Paddlebridge",5,"annabelle27","RF","sa","yes2","","","","","","",2,"pb029","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",4,"c",4,NA,NA,NA,720000,"",""
"21","2.21.2020","second","Paddlebridge",22,"marney382","LF","sa","yes2","","","","","","",2,"pb042","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,4100000,"",""
"22","2.21.2020","second","Paddlebridge",25,"shania291","LF","sa","yes1","","","","","","",1,"pb050","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,6400000,"",""
"23","2.21.2020","second","Paddlebridge",27,"scrapie278","RF","sa","yes2","","","","","","",2,"pb053","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",4,"c",4,NA,NA,NA,360000,"",""
"24","2.21.2020","second","Paddlebridge",34,"annabeth2","LF","sa","yes2","sa","other18","","","","",2,"pb058","","","pb059","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,670000,"",""
"25","3.20.2020","third","Paddlebridge",8,"annabelle27","RF","sa","yes2","","","","","","",2,"pb068","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,1e+06,"",""
"26","3.20.2020","third","Paddlebridge",25,"marney382","LF","sa","yes2","","","","","","",2,"pb086","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,2100000,"",""
"27","3.20.2020","third","Paddlebridge",26,"shania291","LF","sa","yes1","","","","","","",1,"pb089","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,3200000,"",""
"28","3.20.2020","third","Paddlebridge",35,"annabeth2","LF","sa","yes2","","","","","","",2,"pb102","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,1e+05,"",""
"29","12.19.2019","first","Lynd",2,"cheese","LF","sa","yes2","","","","","","",2,"lf001","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,227000,"",""
"30","12.19.2019","first","Lynd",26,"moonwalk","LH","sa","yes2","","","","","","",2,"lf029","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,1407000,"",""
"31","12.19.2019","first","Lynd",26,"moonwalk","RF","sa","yes2","","","","","","",2,"lf030","staphylococcus aureus","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,122000,"",""
