,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID
1,1.2.2020,first,Butterworks,19,manzana,LF,sa,yes2,,,,,,,2,BW030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,630000,,,manzana_LF_first
2,1.2.2020,first,Butterworks,28,peace,LF,sa,yes2,,,,,,,2,BW051,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,,,peace_LF_first
3,1.2.2020,first,Butterworks,30,applecore,LH,sa,yes2,,,,,,,2,BW056,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8900000,,,applecore_LH_first
4,1.2.2020,first,Butterworks,30,applecore,RH,sa,yes2,,,,,,,2,BW057,,,,,,,,no,,yes,NA,NA,NA,NA,NA,320000,,,applecore_RH_first
5,1.2.2020,first,Butterworks,30,applecore,RF,sa,yes2,,,,,,,2,BW058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3800000,,,applecore_RF_first
6,1.2.2020,first,Butterworks,32,lilac,RH,sa,yes2,,,,,,,2,BW062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3700000,,,lilac_RH_first
7,1.2.2020,first,Butterworks,33,plantain,LF,sa,yes2,,,,,,,2,BW064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,plantain_LF_first
8,2.4.2020,second,Butterworks,20,manzana,LF,sa,yes2,,,,,,,2,BW090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,610000,,,manzana_LF_second
9,2.4.2020,second,Butterworks,29,peace,LF,sa,yes2,sa,other18,,,,,2,BW102,BW103,,,,,,,no,,yes,NA,NA,NA,NA,NA,2.00E+06,,,peace_LF_second
10,2.4.2020,second,Butterworks,30,eva,LH,sa,yes2,,,,,,,2,BW104,,,,,,,,no,,yes,NA,NA,NA,NA,NA,570000,,,eva_LH_second
11,2.4.2020,second,Butterworks,32,lilac,RH,sa,yes2,,,,,,,2,BW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6800000,,,lilac_RH_second
12,2.4.2020,second,Butterworks,33,applecore,LH,sa,yes2,,,,,,,2,BW108,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,applecore_LH_second
13,2.4.2020,second,Butterworks,33,applecore,RF,sa,yes2,,,,,,,2,BW109,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4400000,,,applecore_RF_second
14,3.3.2020,third,Butterworks,20,manzana,LF,sa,yes2,,,,,,,2,BW138,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1.00E+06,,,manzana_LF_third
15,3.3.2020,third,Butterworks,28,peace,LF,sa,yes2,,,,,,,2,BW151,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1.00E+06,,,peace_LF_third
16,3.3.2020,third,Butterworks,33,applecore,LH,sa,yes2,,,,,,,2,BW156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,190000,,,applecore_LH_third
17,3.3.2020,third,Butterworks,33,applecore,RH,sa,yes2,,,,,,,2,BW157,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9.00E+05,,,applecore_RH_third
18,3.3.2020,third,Butterworks,33,applecore,RF,sa,yes2,,,,,,,2,BW158,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2700000,,,applecore_RF_third
19,3.3.2020,third,Butterworks,35,lilac,RH,sa,yes2,,,,,,,2,BW162,,,,,,,,no,,yes,NA,NA,NA,NA,NA,810000,,,lilac_RH_third
20,12.13.2019,first,Swallowdale,28,zeal,RF,sa,yes21,,,,,,,21,SW047,,,,,,,,no,,yes,NA,NA,NA,NA,NA,919000,,,zeal_RF_first
21,1.22.2020,second,Swallowdale,35,gigi,RH,sa,yes2,,,,,,,2,SW091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,gigi_RH_second
22,2.28.2020,third,Swallowdale,31,gigi,RH,sa,yes1,,,,,,,1,SW126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3.00E+06,,,gigi_RH_third
23,12.12.2019,first,StonyPond,14,charlotte,LF,sa,yes2,,,,,,,2,SP016,,,,,,,,no,,yes,NA,NA,NA,NA,NA,94000,,,charlotte_LF_first
24,12.12.2019,first,StonyPond,21,italia,RF,sa,yes2,sa,other18,sa,other18,,,2,SP023,SP024,SP025,,,,,,no,,yes,NA,NA,NA,NA,NA,247000,,,italia_RF_first
25,1.10.2020,second,StonyPond,15,charlie,LF,sa,yes2,,,,,,,2,SP047,,,,,,,yes,no,,yes,NA,NA,NA,NA,NA,330000,,,charlie_LF_second
26,12.11.2019,first,Choiniere,4,66,LF,sa,yes2,,,,,,,2,CF005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,131000,,,66_LF_first
27,12.11.2019,first,Choiniere,6,40,LH,sa,yes2,,,,,,,2,CF013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1244000,,,40_LH_first
28,12.11.2019,first,Choiniere,6,40,LF,sa,yes2,,,,,,,2,CF014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,719000,,,40_LF_first
29,12.11.2019,first,Choiniere,9,32,RH,sa,yes2,,,,,,,2,CF021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,933000,,,32_RH_first
30,12.11.2019,first,Choiniere,16,9,LF,sa,yes2,,,,,,,2,CF032,,,,yes,,,,no,,yes,NA,NA,NA,NA,NA,NA,,,9_LF_first
31,12.11.2019,first,Choiniere,17,62,RH,sa,yes2,,,,,,,2,CF035,,,,,,,,no,,yes,NA,NA,NA,NA,NA,478000,,,62_RH_first
32,12.11.2019,first,Choiniere,18,17,LF,sa,yes2,,,,,,,2,CF037,,,,,,,,no,,yes,NA,NA,NA,NA,NA,334000,,,17_LF_first
33,12.11.2019,first,Choiniere,18,17,RH,sa,yes2,,,,,,,2,CF038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,656000,,,17_RH_first
34,12.11.2019,first,Choiniere,24,74,LF,sa,yes2,,,,,,,2,CF046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,304000,,,74_LF_first
35,12.11.2019,first,Choiniere,27,97,RH,sa,yes2,,,,,,,2,CF050,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5253000,,,97_RH_first
36,12.11.2019,first,Choiniere,27,97,RF,sa,yes2,,,,,,,2,CF051,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1866000,,,97_RF_first
37,12.11.2019,first,Choiniere,32,93,LH,sa,yes2,,,,,,,2,CF057,,,,,,,,no,,yes,NA,NA,NA,NA,NA,521000,,,93_LH_first
38,12.11.2019,first,Choiniere,32,93,RH,sa,yes2,,,,,,,2,CF058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3972000,,,93_RH_first
39,1.21.2020,second,Choiniere,1,66,LF,sa,yes2,,,,,,,2,CF081,,,,,,,,no,,yes,NA,NA,NA,NA,NA,89000,,,66_LF_second
40,1.21.2020,second,Choiniere,2,17,LF,sa,yes2,,,,,,,2,CF082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,990000,,,17_LF_second
41,1.21.2020,second,Choiniere,2,17,RH,sa,yes2,,,,,,,2,CF083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,,,17_RH_second
42,1.21.2020,second,Choiniere,3,9,RH,sa,yes2,,,,,,,2,CF084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,840000,,,9_RH_second
43,1.21.2020,second,Choiniere,7,40,LH,sa,yes2,,,,,,,2,CF088,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1500000,,,40_LH_second
44,1.21.2020,second,Choiniere,7,40,LF,sa,yes2,,,,,,,2,CF089,,,,,,,,no,,yes,NA,NA,NA,NA,NA,540000,,,40_LF_second
45,1.21.2020,second,Choiniere,8,69,RF,sa,yes2,,,,,,,2,CF094,,,,,,,,no,,yes,NA,NA,NA,NA,NA,63000,,,69_RF_second
46,1.21.2020,second,Choiniere,17,32,RH,sa,yes2,,,,,,,2,CF106,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,32_RH_second
47,1.21.2020,second,Choiniere,23,93,LH,sa,yes2,,,,,,,2,CF113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1700000,,,93_LH_second
48,1.21.2020,second,Choiniere,23,93,LF,sa,yes2,,,,,,,2,CF114,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2500000,,,93_LF_second
49,1.21.2020,second,Choiniere,24,97,RH,sa,yes2,,,,,,,2,CF117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,870000,,,97_RH_second
50,1.21.2020,second,Choiniere,24,97,RF,sa,yes2,,,,,,,2,CF118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2.00E+06,,,97_RF_second
51,2.17.2020,third,Choiniere,5,17,LF,sa,yes2,,,,,,,2,CF139,,,,,,,,no,,yes,NA,NA,NA,NA,NA,490000,,,17_LF_third
52,2.17.2020,third,Choiniere,5,17,RH,sa,yes2,,,,,,,2,CF140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,17_RH_third
53,2.17.2020,third,Choiniere,6,66,LF,sa,yes2,,,,,,,2,CF141,,,,,,,,no,,yes,NA,NA,NA,NA,NA,230000,,,66_LF_third
54,2.17.2020,third,Choiniere,7,40,LH,sa,yes2,,,,,,,2,CF142,,,,,,,,no,,yes,NA,NA,NA,NA,NA,760000,,,40_LH_third
