date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
12.13.2019,first,swallowdale,28,zeal,RF,sa,yes21,,,,,,,21,sw047,,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,sa,919000,,
1.22.2020,second,swallowdale,35,gigi,RH,sa,yes2,,,,,,,2,sw091,staphylococcus aureus,,,,,,,,,NA,NA,,,,,no,,yes,j,NA,NA,NA,NA,NA,NA,sa,1100000,,
2.28.2020,third,swallowdale,31,gigi,RH,sa,yes1,,,,,,,1,sw126,staphylococcus aureus,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,sa,3000000,,
12.12.2019,first,stonypond,14,charlotte,LF,sa,yes2,,,,,,,2,sp016,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,sa,94000,,
12.12.2019,first,stonypond,21,italia,RF,sa,yes2,sa,other18,sa,other18,,,2,sp023,,,sp024,,,sp025,,,,NA,NA,,,,,no,,yes,j,3,NA,NA,NA,NA,NA,sa,247000,,
1.10.2020,second,stonypond,15,charlie,LF,sa,yes2,,,,,,,2,sp047,,,,,,,,,,NA,NA,,,,yes,no,,yes,j,2,NA,NA,NA,NA,NA,sa,330000,,
1.14.2020,first,glennview,6,165,LH,sa,yes2,,,,,,,2,gv008,,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,sa,1900000,,
1.14.2020,first,glennview,23,169,RF,sa,yes2,,,,,,,2,gv033,,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,sa,44000,,
2.19.2020,second,glennview,5,114,RF,sa,yes1,,,,,,,1,gv055,,,,,,,,,,NA,NA,,,,,no,,yes,m,3,c,2,NA,NA,NA,sa,36000,,
2.19.2020,second,glennview,23,165,LH,sa,yes2,,,,,,,2,gv079,,,,,,,,,,NA,NA,,,,,no,,yes,m,3,c,2,NA,NA,NA,sa,1000000,,
