uniqueID,status
gronk22_Paddlebridge_RH_second,nnn
butterfly_OughtaBe_RH_second,nnn
54_Choiniere_LF_third,nnn
alma_vonTrapp_LH_third,nnn
margo_StonyPond_RH_first,nnn
757_BJ_RF_third,nnn
rhubarb_Butterworks_LF_second,nnn
685_BJ_LF_second,nnn
leap_Lynd_RH_third,nnn
teach_OughtaBe_LH_second,nnn
gif9_Paddlebridge_RH_third,nnn
jewel_Swallowdale_LF_second,nnn
indie_vonTrapp_RF_third,nnn
picknick_Swallowdale_LH_third,nnn
joy_Butterworks_RH_third,nnn
spot_OughtaBe_RF_second,nnn
bullet_OughtaBe_LF_third,nnn
nona_Butterworks_RH_third,nnn
halo_Swallowdale_RF_second,nnn
cb5_BJ_RF_third,nnn
rabbit_OughtaBe_LH_first,nnn
bullet_OughtaBe_RH_second,nnn
ursala_vonTrapp_LF_second,nnn
fresno_Lynd_RH_third,nnn
farrah363_Paddlebridge_RH_third,nnn
willy_Lynd_LF_second,nnn
esme_vonTrapp_RF_second,nnn
daisy_StonyPond_LH_first,nnn
52_Choiniere_LF_fourth,nnn
80_Glennview_RF_first,nnn
585_BJ_RH_third,nnn
aloha_OughtaBe_RF_third,nnn
tallula_vonTrapp_RH_second,nnn
Ambrosia_Lynd_RH_third,nnn
laura558_Paddlebridge_RH_second,nnn
lish_StonyPond_RF_second,nnn
alf_OughtaBe_RH_first,nnn
seraphina_vonTrapp_LH_second,nnn
744_BJ_LF_second,nnn
ladyfinger_Lynd_LF_second,nnn
mustache_Lynd_RH_second,nnn
echo_StonyPond_LF_second,nnn
rhubarb_Butterworks_RH_third,nnn
185_Glennview_LF_third,nnn
daisy_StonyPond_RF_second,nnn
happiness_Butterworks_RF_third,nnn
aubrey_StonyPond_LF_second,nnn
debutant_Swallowdale_RF_second,nnn
simply314_Paddlebridge_RH_third,nnn
amber_Swallowdale_RH_third,nnn
honey_OughtaBe_LF_second,nnn
happiness_Butterworks_LF_second,nnn
loha32_Paddlebridge_LH_third,nnn
zelda_vonTrapp_RF_third,nnn
delilah_StonyPond_RF_first,nnn
doris_StonyPond_RH_first,nnn
whopper_StonyPond_RF_second,nnn
whinnie_OughtaBe_LF_first,nnn
bullet_OughtaBe_RH_third,nnn
jitterbug_Lynd_LF_second,nnn
bigred_StonyPond_LH_second,nnn
52_Choiniere_LF_third,nnn
mustache_Lynd_LH_third,nnn
mustard_Butterworks_LF_third,nnn
octavia42_Paddlebridge_RF_second,nnn
annabelle27_Paddlebridge_RH_third,nnn
honey_OughtaBe_LF_third,nnn
kyra35_Paddlebridge_RF_second,nnn
luxurytax_Lynd_RF_second,nnn
penny_OughtaBe_LH_first,nnn
185_Glennview_LF_second,nnn
swallow377_Paddlebridge_RH_second,nnn
gif9_Paddlebridge_RF_second,nnn
rhubarb_Butterworks_LF_third,nnn
54_Choiniere_RF_third,nnn
happiness_Butterworks_RF_second,nnn
paige_Swallowdale_LF_second,nnn
muffin_Butterworks_RF_second,nnn
aubrey_StonyPond_RH_first,nnn
peaches_StonyPond_LF_second,nnn
deedee_Swallowdale_RF_first,nnnt
753_BJ_LH_first,nnnt
deedee_Swallowdale_RF_third,nnnt
simply314_Paddlebridge_LH_second,nnnt
mango_Butterworks_LF_third,nnnt
wmca_Lynd_LH_first,nnnt
199_Glennview_LF_third,nnnt
199_Glennview_LF_second,nnnt
simply314_Paddlebridge_LH_third,nnnt
mango_Butterworks_LF_first,nnnt
luna_vonTrapp_RF_third,nnnt
185_Glennview_LH_second,nnnt
indie_vonTrapp_RH_third,nnnt
simply314_Paddlebridge_LH_first,nnnt
185_Glennview_LH_third,nnnt
deedee_Swallowdale_RF_second,nnnt
indie_vonTrapp_RH_second,nnnt
wmca_Lynd_LH_second,nnnt
mustache_Lynd_RH_third,nnnt
luna_vonTrapp_RF_first,nnnt
mustache_Lynd_RH_first,nnnt
753_BJ_LH_second,nnnt
indie_vonTrapp_RH_first,nnnt
mustache_Lynd_RH_second,nnnt
185_Glennview_LH_first,nnnt
mango_Butterworks_LF_second,nnnt
753_BJ_LH_third,nnnt
luna_vonTrapp_RF_second,nnnt
wmca_Lynd_LH_third,nnnt
199_Glennview_LF_first,nnnt
hosana_vonTrapp_LF_first,nnyt
skyler_Swallowdale_LH_second,nnyt
skyler_Swallowdale_LH_third,nnyt
Lilac_Butterworks_LH_second,nnyt
Lilac_Butterworks_LH_third,nnyt
hosana_vonTrapp_LF_third,nnyt
skyler_Swallowdale_LH_first,nnyt
hosana_vonTrapp_LF_second,nnyt
Lilac_Butterworks_LH_first,nnyt
lena_vonTrapp_RF_second,nynt
12_Choiniere_RF_fourth,nynt
shania291_Paddlebridge_LH_first,nynt
114_Glennview_LF_second,nynt
12_Choiniere_RF_second,nynt
722_BJ_LH_first,nynt
716_BJ_RF_third,nynt
670_BJ_RH_first,nynt
jewel_Swallowdale_RH_third,nynt
716_BJ_RF_first,nynt
722_BJ_LH_second,nynt
722_BJ_LH_third,nynt
12_Choiniere_RF_first,nynt
lena_vonTrapp_RF_first,nynt
shania291_Paddlebridge_LH_third,nynt
lena_vonTrapp_RH_second,nynt
lena_vonTrapp_RH_third,nynt
jewel_Swallowdale_RH_first,nynt
honey_OughtaBe_LH_first,nynt
670_BJ_RH_second,nynt
114_Glennview_LF_third,nynt
shania291_Paddlebridge_LH_second,nynt
jewel_Swallowdale_RH_second,nynt
honey_OughtaBe_LH_third,nynt
lena_vonTrapp_RH_first,nynt
670_BJ_RH_third,nynt
lena_vonTrapp_RF_third,nynt
