uniqueID,status
happiness_Butterworks_LF_second,nnn
54_Choiniere_RF_third,nnn
muffin_Butterworks_RF_second,nnn
rhubarb_Butterworks_LF_second,nnn
seraphina_vonTrapp_LH_second,nnn
185_Glennview_LF_second,nnn
aloha_OughtaBe_RF_third,nnn
jewel_Swallowdale_LF_second,nnn
alma_vonTrapp_LH_third,nnn
kyra35_Paddlebridge_RF_second,nnn
paige_Swallowdale_LF_second,nnn
685_BJ_LF_second,nnn
mustache_Lynd_LH_third,nnn
octavia42_Paddlebridge_RF_second,nnn
butterfly_OughtaBe_RH_second,nnn
luxurytax_Lynd_RF_second,nnn
mustache_Lynd_RH_second,nnn
willy_Lynd_LF_second,nnn
52_Choiniere_LF_third,nnn
happiness_Butterworks_RF_second,nnn
ladyfinger_Lynd_LF_second,nnn
rhubarb_Butterworks_RH_third,nnn
alf_OughtaBe_RH_first,nnn
teach_OughtaBe_LH_second,nnn
ursala_vonTrapp_LF_second,nnn
doris_StonyPond_RH_first,nnn
gif9_Paddlebridge_RF_second,nnn
rabbit_OughtaBe_LH_first,nnn
199_Glennview_LF_second,nnn
margo_StonyPond_RH_first,nnn
54_Choiniere_LF_third,nnn
gronk22_Paddlebridge_RF_second,nnn
farrah363_Paddlebridge_RH_third,nnn
80_Glennview_LF_third,nnn
585_BJ_RH_second,nnn
happiness_Butterworks_RF_third,nnn
cb5_BJ_RF_third,nnn
echo_StonyPond_LF_second,nnn
esme_vonTrapp_RH_second,nnn
penny_OughtaBe_LH_first,nnn
aubrey_StonyPond_LF_second,nnn
bigred_StonyPond_LH_first,nnn
laura558_Paddlebridge_RH_second,nnn
bullet_OughtaBe_RH_second,nnn
indie_vonTrapp_RF_third,nnn
80_Glennview_LH_third,nnn
744_BJ_LF_second,nnn
whopper_StonyPond_RF_second,nnn
52_Choiniere_LF_fourth,nnn
fresno_Lynd_RH_third,nnn
aubrey_StonyPond_RH_first,nnn
daisy_StonyPond_RF_second,nnn
debutant_Swallowdale_RF_second,nnn
simply314_Paddlebridge_RH_third,nnn
halo_Swallowdale_RF_second,nnn
757_BJ_RF_third,nnn
annabelle27_Paddlebridge_RH_third,nnn
delilah_StonyPond_RF_first,nnn
bullet_OughtaBe_RH_third,nnn
peaches_StonyPond_LF_second,nnn
leap_Lynd_RH_third,nnn
swallow377_Paddlebridge_RH_second,nnn
honey_OughtaBe_LF_second,nnn
nona_Butterworks_RH_third,nnn
bullet_OughtaBe_LF_third,nnn
joy_Butterworks_RH_third,nnn
rhubarb_Butterworks_LF_third,nnn
whinnie_OughtaBe_LF_first,nnn
picknick_Swallowdale_LH_third,nnn
daisy_StonyPond_LH_first,nnn
jitterbug_Lynd_LF_second,nnn
mustard_Butterworks_LF_third,nnn
lish_StonyPond_RF_second,nnn
loha32_Paddlebridge_LH_third,nnn
honey_OughtaBe_LF_third,nnn
tallula_vonTrapp_RH_second,nnn
spot_OughtaBe_RF_second,nnn
gif9_Paddlebridge_RH_third,nnn
amber_Swallowdale_RH_third,nnn
zelda_vonTrapp_RF_third,nnn
deedee_Swallowdale_RF_second,nnnt
indie_vonTrapp_RH_first,nnnt
wmca_Lynd_LH_first,nnnt
185_Glennview_LH_first,nnnt
80_Glennview_RF_first,nnnt
wmca_Lynd_LH_second,nnnt
simply314_Paddlebridge_LF_third,nnnt
luna_vonTrapp_RF_first,nnnt
deedee_Swallowdale_RF_third,nnnt
753_BJ_LH_third,nnnt
ambrosia_Lynd_RH_third,nnnt
simply314_Paddlebridge_LF_second,nnnt
wmca_Lynd_LH_third,nnnt
185_Glennview_LH_second,nnnt
luna_vonTrapp_RF_third,nnnt
80_Glennview_RF_third,nnnt
753_BJ_LH_second,nnnt
luna_vonTrapp_RF_second,nnnt
80_Glennview_RF_second,nnnt
deedee_Swallowdale_RF_first,nnnt
ambrosia_Lynd_RH_first,nnnt
753_BJ_LH_first,nnnt
185_Glennview_LH_third,nnnt
indie_vonTrapp_RH_third,nnnt
simply314_Paddlebridge_LF_first,nnnt
indie_vonTrapp_RH_second,nnnt
ambrosia_Lynd_RH_second,nnnt
mango_Butterworks_LF_first,nnnt
mango_Butterworks_LF_second,nnnt
mango_Butterworks_LF_third,nnnt
lena_vonTrapp_RF_second,nynt
194_Glennview_RH_first,nynt
lena_vonTrapp_RF_first,nynt
194_Glennview_RH_third,nynt
shania291_Paddlebridge_LH_second,nynt
12_Choiniere_RF_second,nynt
194_Glennview_RH_second,nynt
114_Glennview_LF_first,nynt
jewel_Swallowdale_RH_third,nynt
670_BJ_RH_first,nynt
716_BJ_RF_second,nynt
670_BJ_RH_second,nynt
jewel_Swallowdale_RH_first,nynt
lena_vonTrapp_RF_third,nynt
12_Choiniere_RF_third,nynt
670_BJ_RH_third,nynt
lena_vonTrapp_RH_third,nynt
honey_OughtaBe_LH_second,nynt
722_BJ_LH_second,nynt
722_BJ_LH_third,nynt
716_BJ_RF_third,nynt
12_Choiniere_RF_fourth,nynt
114_Glennview_LF_third,nynt
shania291_Paddlebridge_LH_first,nynt
jewel_Swallowdale_RH_second,nynt
shania291_Paddlebridge_LH_third,nynt
lena_vonTrapp_RH_second,nynt
honey_OughtaBe_LH_first,nynt
12_Choiniere_RF_first,nynt
honey_OughtaBe_LH_third,nynt
114_Glennview_LF_second,nynt
lena_vonTrapp_RH_first,nynt
722_BJ_LH_first,nynt
716_BJ_RF_first,nynt
9_Choiniere_RH_first,nyyt
kodiak_Lynd_LH_first,nyyt
kodiak_Lynd_LH_second,nyyt
74_Choiniere_RH_fourth,nyyt
denise_Swallowdale_RH_third,nyyt
denise_Swallowdale_RH_first,nyyt
3_Choiniere_RH_second,nyyt
denise_Swallowdale_LF_third,nyyt
693_BJ_LH_first,nyyt
denise_Swallowdale_LF_first,nyyt
jersey_OughtaBe_RH_second,nyyt
93_Choiniere_LF_fourth,nyyt
74_Choiniere_RH_second,nyyt
74_Choiniere_RH_first,nyyt
