Loc.,UniqueID,status,Farm,visit,Cow_Name,Quarter
A1,hosana_vonTrapp_LF_first,nnyt,vonTrapp,first,Patchouli,LF
A2,bon_Butterworks_RF_first,yyy,Butterworks,first,Bon,RF
A3,jazz_Swallowdale_LH_third,nyyt,Swallowdale,third,Jazz,LH
A4,denise_Swallowdale_RH_third,nyyt,Swallowdale,third,Denise,RH
A5,Swallowdale_BTM_2,btm,Swallowdale,second,,
A6,lena_vonTrapp_RF_second,nynt,vonTrapp,second,Lena,RF
A7,honey_OughtaBe_RF_first,yyy,OughtaBe,first,Honey,RF
A8,life_Lynd_LF_second,yyyt,Lynd,second,Life,LF
A9,12_Choiniere_RF_fourth,nynt,Choiniere,fourth,12,RF
A10,gronk22_Paddlebridge_RH_second,nnn,Paddlebridge,second,Gronk22,RH
A11,butterfly_OughtaBe_RH_second,nnn,OughtaBe,second,Butterfly,RH
A12,3_Choiniere_RH_second,nyyt,Choiniere,second,3,RH
A13,54_Choiniere_LF_third,nnn,Choiniere,third,54,LF
A14,alma_vonTrapp_LH_third,nnn,vonTrapp,third,Alma,LH
A15,3_Choiniere_RH_third,nyyt,Choiniere,third,3,RH
A16,margo_StonyPond_RH_first,nnn,StonyPond,first,Margo,RH
A17,757_BJ_RF_third,nnn,BJ,third,757,RF
A18,echo_StonyPond_LH_first,yyy,StonyPond,first,Echo,LH
A19,17_Choiniere_RH_first,yyyt,Choiniere,first,17,RH
A20,likely30_Paddlebridge_RF_third,yyy,Paddlebridge,third,Likely30,RF
A21,shania291_Paddlebridge_LH_first,nynt,Paddlebridge,first,Shania291,LH
A22,rhubarb_Butterworks_LF_second,nnn,Butterworks,second,Rhubarb,LF
A23,685_BJ_LF_second,nnn,BJ,second,685,LF
A24,gift379_Paddlebridge_RF_third,yyy,Paddlebridge,third,Gift379,RF
A25,fitzi13_Paddlebridge_RF_second,yyyt,Paddlebridge,second,Fitzi31,RF
A26,leap_Lynd_RH_third,nnn,Lynd,third,Leap,RH
A27,amarillo_Lynd_RF_second,yyy,Lynd,second,Amarillo,RF
A28,teach_OughtaBe_LH_second,nnn,OughtaBe,second,Teach,LH
