"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_div_100k","ls","ls_no_neg","scc_200k","cause_path"
"1","3.16.2020","fourth","Choiniere",6,"66","RF","?","yes27","corynebac","yes27","","",NA,NA,27,"CF196","CF197","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"66_RF_fourth",0.04,-1.64385619,0,"no","other"
"2","2.21.2020","second","Paddlebridge",25,"shania291","LH","?","yes27","corynebac","yes27","","",NA,NA,27,"PB048","PB049","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",17000,NA,NA,"shania291_LH_second",0.17,0.443606651,0.4436,"no","other"
"3","3.19.2020","third","Glennview",28,"70","LH","?","yes27","strep","yes27","","",NA,NA,27,"GV148","GV149","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",140000,NA,NA,"70_LH_third",1.4,3.485426827,3.4854,"no","other"
"4","1.14.2020","first","Glennview",24,"114","LH","?","yes27","strep","yes27","","",NA,NA,27,"GV034","GV035","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",3300000,NA,NA,"114_LH_first",33,8.044394119,8.0444,"yes","other"
"5","12.11.2019","first","Choiniere",15,"38","LH","?","yes1","","","","",NA,NA,1,"CF030","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"38_LH_first",0.00001,-13.60964047,0,"no","other"
"6","1.14.2020","first","Glennview",10,"193","LF","?","yes2","","","","",NA,NA,2,"GV020","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"193_LF_first",0.03,-2.058893689,0,"no","other"
"7","1.21.2020","second","Choiniere",35,"35","RH","?","yes1","","","","",NA,NA,1,"CF133","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",6000,NA,NA,"35_RH_second",0.06,-1.058893689,0,"no","other"
"8","3.16.2020","fourth","Choiniere",20,"741","LH","?","yes1","","","","",NA,NA,1,"CF220","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",6000,NA,NA,"741_LH_fourth",0.06,-1.058893689,0,"no","other"
"9","2.12.2020","second","vonTrapp",3,"lena","RH","?","yes2","","","","",NA,NA,2,"VT035","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",6000,NA,NA,"lena_RH_second",0.06,-1.058893689,0,"no","other"
"10","3.3.2020","third","Butterworks",31,"gabrielle","RF","?","yes2","","","","",NA,NA,2,"BW154","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",8000,NA,NA,"gabrielle_RF_third",0.08,-0.64385619,0,"no","other"
"11","3.16.2020","fourth","Choiniere",5,"57","LH","?","yes2","","","","",NA,NA,2,"CF193","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",18000,NA,NA,"57_LH_fourth",0.18,0.526068812,0.5261,"no","other"
"12","2.26.2020","third","BJ",15,"693","LF","?","yes1","","","","",NA,NA,1,"BJ066","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",37000,NA,NA,"693_LF_third",0.37,1.565597176,1.5656,"no","other"
"13","1.14.2020","first","Glennview",3,"133","LF","?","yes21","","","","",NA,NA,21,"GV004","","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",51000,NA,NA,"133_LF_first",0.51,2.028569152,2.0286,"no","other"
"14","2.12.2020","second","vonTrapp",27,"patchouli","RF","?","yes2","","","","",NA,NA,2,"VT057","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",72000,NA,NA,"patchouli_RF_second",0.72,2.526068812,2.5261,"no","other"
"15","2.19.2020","second","Glennview",23,"165","RH","?","yes1","","","","",NA,NA,1,"GV080","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",110000,NA,NA,"165_RH_second",1.1,3.137503524,3.1375,"no","other"
"16","3.19.2020","third","Glennview",8,"165","RH","?","yes2","","","","",NA,NA,2,"GV114","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",120000,NA,NA,"165_RH_third",1.2,3.263034406,3.263,"no","other"
"17","12.12.2019","first","StonyPond",33,"chelsea","LF","?","yes2","","","","",NA,NA,2,"SP031","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",135000,NA,NA,"chelsea_LF_first",1.35,3.432959407,3.433,"no","other"
"18","2.19.2020","second","Glennview",15,"175","RF","?","yes2","","","","",NA,NA,2,"GV070","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",140000,NA,NA,"175_RF_second",1.4,3.485426827,3.4854,"no","other"
"19","12.11.2019","first","Choiniere",33,"28","LH","?","yes2","","","","",NA,NA,2,"CF059","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",181000,NA,NA,"28_LH_first",1.81,3.855989697,3.856,"no","other"
"20","2.19.2020","second","Glennview",8,"133","RF","?","yes2","","","","",NA,NA,2,"GV061","","",NA,"yes",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2600000,NA,NA,"133_RF_second",26,7.700439718,7.7004,"yes","other"
"21","2.19.2020","second","Glennview",32,"199","RF","?","yes2","","","","",NA,NA,2,"GV093","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",6300000,NA,NA,"199_RF_second",63,8.977279923,8.9773,"yes","other"
"22","3.10.2020","third","vonTrapp",9,"vicki","RF","bacillus","yes27","cns","yes27","","",NA,NA,27,"VT075","VT104","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",11000,NA,NA,"vicki_RF_third",0.11,-0.184424571,0,"no","other"
"23","3.19.2020","third","Glennview",18,"80","RH","","","","","","",NA,NA,5,"GV134","","",NA,"",NA,"","","",NA,"no","NA","NA","NA","NA","NA",4000,NA,NA,"80_RH_third",0.04,-1.64385619,0,"no",""
"24","3.19.2020","third","Glennview",16,"190","RH","","","","","","",NA,NA,5,"GV133","","",NA,"",NA,"","","",NA,"no","NA","NA","NA","NA","NA",29000,NA,NA,"190_RH_third",0.29,1.214124805,1.2141,"no",""
"25","3.20.2020","third","Paddlebridge",30,"chapstick1","LF","cns","yes27","cns","yes27","","",NA,NA,27,"PB093","PB094","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"chapstick1_LF_third",0.00001,-13.60964047,0,"no","other"
