"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID","first_scc_200k","second_scc_200k","third_scc_200k","fourth_scc_200k"
"1","165_Glennview","LF","1.14.2020","first","Glennview",6,"corynebac","yes2","","","","","","",2,"GV009","","","","","","","","no","","yes","NA","NA","NA","NA","NA",43000,"","","165_Glennview_LF","2.19.2020","second","Glennview",23,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",30000,"","","165_Glennview_LF","3.19.2020","third","Glennview",8,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",76000,"","","165_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165_Glennview_LF_fourth","no","no","no",NA
"2","19_Choiniere","LH","12.11.2019","first","Choiniere",7,"corynebac","yes2","","","","","","",2,"CF017","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3000,"","","19_Choiniere_LH","1.21.2020","second","Choiniere",28,"","","","","","","","",6,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","19_Choiniere_LH","2.17.2020","third","Choiniere",1,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","19_Choiniere_LH","3.16.2020","fourth","Choiniere",11,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","19_Choiniere_LH_fourth","no","no","no","no"
"3","193_Glennview","LF","1.14.2020","first","Glennview",10,"?","yes2","","","","","","",2,"GV020","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3000,"","","193_Glennview_LF","2.19.2020","second","Glennview",7,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","193_Glennview_LF","3.19.2020","third","Glennview",4,"","","","","","","","",6,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","193_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"193_Glennview_LF_fourth","no","no","no",NA
"4","206_Glennview","RF","1.14.2020","first","Glennview",5,"corynebac","yes2","","","","","","",2,"GV007","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4000,"","","206_Glennview_RF","2.19.2020","second","Glennview",21,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","206_Glennview_RF","3.19.2020","third","Glennview",29,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","206_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"206_Glennview_RF_fourth","no","no","no",NA
"5","206_Glennview","RH","1.14.2020","first","Glennview",5,"corynebac","yes2","","","","","","",2,"GV006","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4000,"","","206_Glennview_RH","2.19.2020","second","Glennview",21,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","206_Glennview_RH","3.19.2020","third","Glennview",29,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","206_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"206_Glennview_RH_fourth","no","no","no",NA
"6","207_Glennview","LF","1.14.2020","first","Glennview",29,"corynebac","yes1","","","","","","",1,"GV043","","","","","","","","no","","yes","NA","NA","NA","NA","NA",7000,"","","207_Glennview_LF","2.19.2020","second","Glennview",30,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","207_Glennview_LF","3.19.2020","third","Glennview",23,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","207_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207_Glennview_LF_fourth","no","no","no",NA
"7","41_Choiniere","RF","12.11.2019","first","Choiniere",11,"strep","yes27","corynebac","","","","","",27,"CF024","CF025","","","","","","","yes","","yes","NA","NA","NA","NA","NA",5000,"","","41_Choiniere_RF","1.21.2020","second","Choiniere",29,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","41_Choiniere_RF","2.17.2020","third","Choiniere",12,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","41_Choiniere_RF","3.16.2020","fourth","Choiniere",15,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","41_Choiniere_RF_fourth","no","no","no","no"
"8","664_BJ","LH","12.17.2019","first","BJ",32,"cns","yes2","","","","","","",2,"BJ023","","","","","","","","no","","yes","NA","NA","NA","NA","NA",506000,"","","664_BJ_LH","1.29.2020","second","BJ",32,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",730000,"","","664_BJ_LH","2.26.2020","third","BJ",29,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",880000,"","","664_BJ_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"664_BJ_LH_fourth","yes","yes","yes",NA
"9","664_BJ","RF","12.17.2019","first","BJ",32,"corynebac","yes2","","","","","","",2,"BJ025","","","","","","","","no","","yes","NA","NA","NA","NA","NA",5000,"","","664_BJ_RF","1.29.2020","second","BJ",32,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",15000,"","","664_BJ_RF","2.26.2020","third","BJ",29,"","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","664_BJ_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"664_BJ_RF_fourth","no","no","no",NA
"10","664_BJ","RH","12.17.2019","first","BJ",32,"corynebac","yes2","","","","","","",2,"BJ024","","","","","","","","no","","yes","NA","NA","NA","NA","NA",14000,"","","664_BJ_RH","1.29.2020","second","BJ",32,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","664_BJ_RH","2.26.2020","third","BJ",29,"","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","664_BJ_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"664_BJ_RH_fourth","no","no","no",NA
