,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID
1,1.2.2020,first,Butterworks,1,joy,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,joy_LF_first
2,1.2.2020,first,Butterworks,1,joy,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,130000,,,joy_RH_first
3,1.2.2020,first,Butterworks,1,joy,RF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,joy_RF_first
4,1.2.2020,first,Butterworks,2,strawberry,LH,corynebac,yes27,cns,yes27,,,,,27,BW001,BW002,,,,,,,yes,,yes,NA,NA,NA,NA,NA,7000,,,strawberry_LH_first
5,1.2.2020,first,Butterworks,4,muffin,LH,cns,yes27,corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,NA,NA,NA,NA,NA,250000,,,muffin_LH_first
6,1.2.2020,first,Butterworks,4,muffin,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,11000,,,muffin_LF_first
7,1.2.2020,first,Butterworks,4,muffin,RH,cns,yes2,,,,,,,2,BW005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,,,muffin_RH_first
8,1.2.2020,first,Butterworks,4,muffin,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,,,muffin_RF_first
9,1.2.2020,first,Butterworks,5,mango,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,mango_LF_first
10,1.2.2020,first,Butterworks,6,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW007,BW008,,,,,,,yes,,yes,NA,NA,NA,NA,NA,54000,,,pomme_RH_first
11,1.2.2020,first,Butterworks,7,happiness,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,happiness_LF_first
12,1.2.2020,first,Butterworks,7,happiness,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,happiness_RH_first
13,1.2.2020,first,Butterworks,7,happiness,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,happiness_RF_first
14,1.2.2020,first,Butterworks,8,wildcucumber,LH,cns,yes2,,,,,,,2,BW010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,wildcucumber_LH_first
15,1.2.2020,first,Butterworks,9,blackberry,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,20000,,,blackberry_LF_first
