,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,,scc_div_100k,ls,ls_no_neg
1228,3.16.2020,fourth,Choiniere,6,66,RF,?,yes27,corynebac,yes27,,,,,27,CF196,CF197,,,,,,,yes,,yes,NA,NA,NA,NA,NA,4000,,,66_RF_fourth,,0.04,-1.64385619,0
2186,2.21.2020,second,Paddlebridge,25,shania291,LH,?,yes27,corynebac,yes27,,,,,27,PB048,PB049,,,,,,,yes,,yes,NA,NA,NA,NA,NA,17000,,,shania291_LH_second,,0.17,0.443606651,0.4436
1600,3.19.2020,third,Glennview,28,70,LH,?,yes27,strep,yes27,,,,,27,GV148,GV149,,,,,,,yes,,yes,NA,NA,NA,NA,NA,140000,,,70_LH_third,,1.4,3.485426827,3.4854
1370,1.14.2020,first,Glennview,24,114,LH,?,yes27,strep,yes27,,,,,27,GV034,GV035,,,,,,,yes,,yes,NA,NA,NA,NA,NA,3300000,,,114_LH_first,,33,8.044394119,8.0444
970,12.11.2019,first,Choiniere,15,38,LH,?,yes1,,,,,,,1,CF030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,38_LH_first,,0.00001,-13.60964047,0
1341,1.14.2020,first,Glennview,10,193,LF,?,yes2,,,,,,,2,GV020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,193_LF_first,,0.03,-2.058893689,0
1119,1.21.2020,second,Choiniere,35,35,RH,?,yes1,,,,,,,1,CF133,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,35_RH_second,,0.06,-1.058893689,0
1272,3.16.2020,fourth,Choiniere,20,741,LH,?,yes1,,,,,,,1,CF220,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,741_LH_fourth,,0.06,-1.058893689,0
2772,2.12.2020,second,vonTrapp,3,lena,RH,?,yes2,,,,,,,2,VT035,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,lena_RH_second,,0.06,-1.058893689,0
322,3.3.2020,third,Butterworks,31,gabrielle,RF,?,yes2,,,,,,,2,BW154,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,gabrielle_RF_third,,0.08,-0.64385619,0
1223,3.16.2020,fourth,Choiniere,5,57,LH,?,yes2,,,,,,,2,CF193,,,,,,,,no,,yes,NA,NA,NA,NA,NA,18000,,,57_LH_fourth,,0.18,0.526068812,0.5261
2594,2.26.2020,third,BJ,15,693,LF,?,yes1,,,,,,,1,BJ066,,,,,,,,no,,yes,NA,NA,NA,NA,NA,37000,,,693_LF_third,,0.37,1.565597176,1.5656
1318,1.14.2020,first,Glennview,3,133,LF,?,yes21,,,,,,,21,GV004,,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,51000,,,133_LF_first,,0.51,2.028569152,2.0286
2848,2.12.2020,second,vonTrapp,27,patchouli,RF,?,yes2,,,,,,,2,VT057,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,,,patchouli_RF_second,,0.72,2.526068812,2.5261
1472,2.19.2020,second,Glennview,23,165,RH,?,yes1,,,,,,,1,GV080,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,,,165_RH_second,,1.1,3.137503524,3.1375
1539,3.19.2020,third,Glennview,8,165,RH,?,yes2,,,,,,,2,GV114,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,165_RH_third,,1.2,3.263034406,3.263
812,12.12.2019,first,StonyPond,33,chelsea,LF,?,yes2,,,,,,,2,SP031,,,,,,,,no,,yes,NA,NA,NA,NA,NA,135000,,,chelsea_LF_first,,1.35,3.432959407,3.433
